"","sample_size","MCTPWB1_power","MCTPWB2_power"
"234",2333,0.94,0.93
"235",2343,0.94,0.95
"236",2353,0.95,0.95
"237",2363,0.97,0.98
"238",2373,0.96,0.98
"239",2383,0.95,0.94
"240",2393,0.98,0.97
"241",2403,0.95,0.96
"242",2413,0.95,0.95
"243",2423,0.97,0.97
"244",2433,0.96,0.97
"245",2443,0.97,0.98
"246",2453,0.97,0.97
"247",2463,0.96,0.96
"248",2473,0.96,0.98
"249",2483,0.97,0.97
"250",2493,0.99,0.98
