"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0527,0.051,0.0617
"2","AR(1)",10,10,0.03,0.0718,0.0625,0.0759
"3","AR(1)",10,10,0.05,0.1229,0.0861,0.1079
"4","AR(1)",10,10,0.07,0.1967,0.1196,0.1558
"5","AR(1)",10,10,0.1,0.3755,0.2178,0.2844
"6","AR(1)",10,20,0.01,0.0652,0.0588,0.0689
"7","AR(1)",10,20,0.03,0.1943,0.1066,0.135
"8","AR(1)",10,20,0.05,0.4814,0.2272,0.2995
"9","AR(1)",10,20,0.07,0.799,0.4221,0.5417
"10","AR(1)",10,20,0.1,0.9861,0.7668,0.8828
"11","AR(1)",10,30,0.01,0.0848,0.066,0.0764
"12","AR(1)",10,30,0.03,0.4819,0.1949,0.2613
"13","AR(1)",10,30,0.05,0.9328,0.4949,0.6362
"14","AR(1)",10,30,0.07,0.9992,0.8368,0.9382
"15","AR(1)",10,30,0.1,1,0.9949,0.9998
"16","AR(1)",10,50,0.01,0.1979,0.0935,0.1177
"17","AR(1)",10,50,0.03,0.9885,0.5341,0.6928
"18","AR(1)",10,50,0.05,1,0.97,0.997
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.057,0.0488,0.0575
"22","AR(1)",20,10,0.03,0.1053,0.0789,0.0921
"23","AR(1)",20,10,0.05,0.2223,0.143,0.1693
"24","AR(1)",20,10,0.07,0.3937,0.2554,0.3008
"25","AR(1)",20,10,0.1,0.7127,0.5012,0.5707
"26","AR(1)",20,20,0.01,0.0813,0.0619,0.0689
"27","AR(1)",20,20,0.03,0.3816,0.2102,0.2423
"28","AR(1)",20,20,0.05,0.8422,0.5383,0.6174
"29","AR(1)",20,20,0.07,0.9907,0.8746,0.9166
"30","AR(1)",20,20,0.1,1,0.9976,0.999
"31","AR(1)",20,30,0.01,0.1415,0.0882,0.1001
"32","AR(1)",20,30,0.03,0.8434,0.4748,0.5421
"33","AR(1)",20,30,0.05,0.9999,0.9461,0.9738
"34","AR(1)",20,30,0.07,1,0.9998,1
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.4175,0.1702,0.2061
"37","AR(1)",20,50,0.03,1,0.9695,0.9864
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.0639,0.0575,0.0593
"42","AR(1)",30,10,0.03,0.1372,0.0959,0.1088
"43","AR(1)",30,10,0.05,0.3162,0.2104,0.2395
"44","AR(1)",30,10,0.07,0.5866,0.4072,0.457
"45","AR(1)",30,10,0.1,0.8853,0.733,0.7764
"46","AR(1)",30,20,0.01,0.0967,0.0714,0.079
"47","AR(1)",30,20,0.03,0.5588,0.3244,0.362
"48","AR(1)",30,20,0.05,0.9634,0.7824,0.8275
"49","AR(1)",30,20,0.07,0.9997,0.9854,0.9907
"50","AR(1)",30,20,0.1,1,1,1
"51","AR(1)",30,30,0.01,0.185,0.1087,0.1175
"52","AR(1)",30,30,0.03,0.9664,0.7211,0.7683
"53","AR(1)",30,30,0.05,1,0.998,0.9987
"54","AR(1)",30,30,0.07,1,1,1
"55","AR(1)",30,30,0.1,1,1,1
"56","AR(1)",30,50,0.01,0.6163,0.2679,0.3022
"57","AR(1)",30,50,0.03,1,0.9997,1
"58","AR(1)",30,50,0.05,1,1,1
"59","AR(1)",30,50,0.07,1,1,1
"60","AR(1)",30,50,0.1,1,1,1
"61","AR(1)",40,10,0.01,0.0674,0.0565,0.0623
"62","AR(1)",40,10,0.03,0.1783,0.1234,0.1365
"63","AR(1)",40,10,0.05,0.4269,0.2858,0.3186
"64","AR(1)",40,10,0.07,0.7135,0.5306,0.5744
"65","AR(1)",40,10,0.1,0.9615,0.8735,0.9002
"66","AR(1)",40,20,0.01,0.1129,0.0791,0.0855
"67","AR(1)",40,20,0.03,0.7058,0.4416,0.4735
"68","AR(1)",40,20,0.05,0.9954,0.9233,0.9426
"69","AR(1)",40,20,0.07,1,0.9991,0.9997
"70","AR(1)",40,20,0.1,1,1,1
"71","AR(1)",40,30,0.01,0.2445,0.1333,0.1464
"72","AR(1)",40,30,0.03,0.9939,0.8817,0.9077
"73","AR(1)",40,30,0.05,1,0.9999,0.9999
"74","AR(1)",40,30,0.07,1,1,1
"75","AR(1)",40,30,0.1,1,1,1
"76","AR(1)",40,50,0.01,0.7717,0.3698,0.405
"77","AR(1)",40,50,0.03,1,1,1
"78","AR(1)",40,50,0.05,1,1,1
"79","AR(1)",40,50,0.07,1,1,1
"80","AR(1)",40,50,0.1,1,1,1
"81","AR(1)",50,10,0.01,0.0672,0.0575,0.0608
"82","AR(1)",50,10,0.03,0.2098,0.1495,0.1632
"83","AR(1)",50,10,0.05,0.5101,0.3584,0.385
"84","AR(1)",50,10,0.07,0.8138,0.6465,0.6861
"85","AR(1)",50,10,0.1,0.986,0.9374,0.9527
"86","AR(1)",50,20,0.01,0.1382,0.091,0.0954
"87","AR(1)",50,20,0.03,0.8212,0.5563,0.5958
"88","AR(1)",50,20,0.05,0.9989,0.9762,0.9822
"89","AR(1)",50,20,0.07,1,0.9999,1
