"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.057,0.052,0.1379
"2","AR(1)",10,10,0.03,0.0773,0.0609,0.1569
"3","AR(1)",10,10,0.05,0.1197,0.08,0.1896
"4","AR(1)",10,10,0.07,0.2011,0.1232,0.2557
"5","AR(1)",10,10,0.1,0.3716,0.2181,0.3994
"6","AR(1)",10,20,0.01,0.0656,0.0582,0.1501
"7","AR(1)",10,20,0.03,0.1901,0.1041,0.2414
"8","AR(1)",10,20,0.05,0.4806,0.2253,0.4378
"9","AR(1)",10,20,0.07,0.8036,0.4289,0.6819
"10","AR(1)",10,20,0.1,0.9865,0.7661,0.9217
"11","AR(1)",10,30,0.01,0.0897,0.0621,0.1746
"12","AR(1)",10,30,0.03,0.489,0.1959,0.4194
"13","AR(1)",10,30,0.05,0.9328,0.5057,0.7705
"14","AR(1)",10,30,0.07,0.9993,0.835,0.9662
"15","AR(1)",10,30,0.1,1,0.9937,0.9998
"16","AR(1)",10,50,0.01,0.2028,0.0962,0.2643
"17","AR(1)",10,50,0.03,0.9882,0.536,0.8325
"18","AR(1)",10,50,0.05,1,0.9723,0.9983
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.0562,0.0524,0.105
"22","AR(1)",20,10,0.03,0.1057,0.0818,0.1479
"23","AR(1)",20,10,0.05,0.2172,0.1406,0.2399
"24","AR(1)",20,10,0.07,0.4009,0.2557,0.3843
"25","AR(1)",20,10,0.1,0.7069,0.5015,0.6436
"26","AR(1)",20,20,0.01,0.0756,0.063,0.1182
"27","AR(1)",20,20,0.03,0.3774,0.2017,0.3227
"28","AR(1)",20,20,0.05,0.8457,0.5475,0.6964
"29","AR(1)",20,20,0.07,0.9901,0.879,0.9451
"30","AR(1)",20,20,0.1,1,0.9967,0.999
"31","AR(1)",20,30,0.01,0.1365,0.083,0.1555
"32","AR(1)",20,30,0.03,0.8453,0.4698,0.6385
"33","AR(1)",20,30,0.05,0.9997,0.9484,0.9809
"34","AR(1)",20,30,0.07,1,0.9996,0.9998
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.4143,0.1656,0.2968
"37","AR(1)",20,50,0.03,1,0.9734,0.9931
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.064,0.0557,0.0989
"42","AR(1)",30,10,0.03,0.1366,0.1008,0.1637
"43","AR(1)",30,10,0.05,0.3273,0.2229,0.3158
"44","AR(1)",30,10,0.07,0.5724,0.3951,0.5131
"45","AR(1)",30,10,0.1,0.8826,0.7206,0.8144
"46","AR(1)",30,20,0.01,0.0998,0.0725,0.1212
"47","AR(1)",30,20,0.03,0.5582,0.327,0.4393
"48","AR(1)",30,20,0.05,0.9665,0.7906,0.8688
"49","AR(1)",30,20,0.07,0.9999,0.9842,0.9925
"50","AR(1)",30,20,0.1,1,1,1
"51","AR(1)",30,30,0.01,0.1933,0.1085,0.1728
"52","AR(1)",30,30,0.03,0.9684,0.7259,0.8233
"53","AR(1)",30,30,0.05,1,0.9985,0.9998
"54","AR(1)",30,30,0.07,1,1,1
"55","AR(1)",30,30,0.1,1,1,1
