"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0479,0.0488,0.1301
"2","AR(1)",10,10,0.2575,0.0701,0.0607,0.1543
"3","AR(1)",10,10,0.505,0.1209,0.1005,0.228
"4","AR(1)",10,10,0.7525,0.2482,0.2092,0.3796
"5","AR(1)",10,10,1,0.4507,0.3956,0.5996
"6","AR(1)",10,20,0.01,0.0553,0.0551,0.1437
"7","AR(1)",10,20,0.2575,0.0594,0.062,0.1581
"8","AR(1)",10,20,0.505,0.0933,0.0805,0.2015
"9","AR(1)",10,20,0.7525,0.1552,0.1562,0.3203
"10","AR(1)",10,20,1,0.2906,0.2956,0.5116
"11","AR(1)",10,30,0.01,0.0522,0.0516,0.1459
"12","AR(1)",10,30,0.2575,0.0572,0.0504,0.1557
"13","AR(1)",10,30,0.505,0.0838,0.0748,0.199
"14","AR(1)",10,30,0.7525,0.13,0.1335,0.2918
"15","AR(1)",10,30,1,0.222,0.2379,0.4566
"16","AR(1)",10,50,0.01,0.0522,0.056,0.1687
"17","AR(1)",10,50,0.2575,0.0555,0.0532,0.1614
"18","AR(1)",10,50,0.505,0.0723,0.0683,0.2043
"19","AR(1)",10,50,0.7525,0.1053,0.1133,0.2855
"20","AR(1)",10,50,1,0.1748,0.2093,0.4237
"21","AR(1)",20,10,0.01,0.0531,0.0455,0.0946
"22","AR(1)",20,10,0.2575,0.0795,0.0753,0.1447
"23","AR(1)",20,10,0.505,0.2343,0.2425,0.3581
"24","AR(1)",20,10,0.7525,0.5424,0.5814,0.6981
"25","AR(1)",20,10,1,0.853,0.8744,0.9251
"26","AR(1)",20,20,0.01,0.0518,0.0516,0.1028
"27","AR(1)",20,20,0.2575,0.0686,0.0695,0.1265
"28","AR(1)",20,20,0.505,0.1555,0.1921,0.2943
"29","AR(1)",20,20,0.7525,0.3479,0.4898,0.6092
"30","AR(1)",20,20,1,0.6616,0.8054,0.8786
"31","AR(1)",20,30,0.01,0.0504,0.0484,0.1032
"32","AR(1)",20,30,0.2575,0.0685,0.0615,0.1206
"33","AR(1)",20,30,0.505,0.1253,0.1598,0.2645
"34","AR(1)",20,30,0.7525,0.2722,0.4223,0.5563
"35","AR(1)",20,30,1,0.5386,0.7716,0.8574
"36","AR(1)",20,50,0.01,0.0499,0.0537,0.1171
"37","AR(1)",20,50,0.2575,0.0656,0.0648,0.1277
"38","AR(1)",20,50,0.505,0.0981,0.139,0.2359
"39","AR(1)",20,50,0.7525,0.2035,0.3775,0.5159
"40","AR(1)",20,50,1,0.4074,0.7176,0.821
"41","AR(1)",30,10,0.01,0.0496,0.0477,0.0901
"42","AR(1)",30,10,0.2575,0.1075,0.1047,0.1694
"43","AR(1)",30,10,0.505,0.3571,0.4151,0.5199
"44","AR(1)",30,10,0.7525,0.776,0.8366,0.8909
"45","AR(1)",30,10,1,0.9789,0.9864,0.994
"46","AR(1)",30,20,0.01,0.0518,0.0517,0.0855
"47","AR(1)",30,20,0.2575,0.0829,0.0797,0.1318
"48","AR(1)",30,20,0.505,0.2268,0.3416,0.4301
"49","AR(1)",30,20,0.7525,0.5686,0.7769,0.8359
"50","AR(1)",30,20,1,0.8947,0.9749,0.9854
"51","AR(1)",30,30,0.01,0.0554,0.0485,0.0847
"52","AR(1)",30,30,0.2575,0.0783,0.0837,0.1346
"53","AR(1)",30,30,0.505,0.1721,0.2929,0.3788
"54","AR(1)",30,30,0.7525,0.4508,0.7359,0.8041
"55","AR(1)",30,30,1,0.8012,0.966,0.9813
"56","AR(1)",30,50,0.01,0.0524,0.0512,0.0891
"57","AR(1)",30,50,0.2575,0.0718,0.0799,0.1345
"58","AR(1)",30,50,0.505,0.1464,0.2626,0.3485
"59","AR(1)",30,50,0.7525,0.3273,0.6888,0.7722
"60","AR(1)",30,50,1,0.6492,0.9536,0.9734
"61","AR(1)",40,10,0.01,0.05,0.0477,0.0827
"62","AR(1)",40,10,0.2575,0.1263,0.1397,0.2034
"63","AR(1)",40,10,0.505,0.491,0.5761,0.6682
"64","AR(1)",40,10,0.7525,0.9082,0.9455,0.9676
"65","AR(1)",40,10,1,0.9984,0.9988,0.9995
"66","AR(1)",40,20,0.01,0.0553,0.0524,0.0831
"67","AR(1)",40,20,0.2575,0.0983,0.1142,0.1604
"68","AR(1)",40,20,0.505,0.3132,0.5011,0.5787
"69","AR(1)",40,20,0.7525,0.7492,0.9184,0.9438
"70","AR(1)",40,20,1,0.977,0.9976,0.9983
"71","AR(1)",40,30,0.01,0.0527,0.0504,0.0808
"72","AR(1)",40,30,0.2575,0.0838,0.0954,0.1421
"73","AR(1)",40,30,0.505,0.2499,0.448,0.5248
"74","AR(1)",40,30,0.7525,0.6258,0.898,0.9264
"75","AR(1)",40,30,1,0.9351,0.9969,0.9983
"76","AR(1)",40,50,0.01,0.0543,0.0518,0.0834
"77","AR(1)",40,50,0.2575,0.0763,0.0894,0.1318
"78","AR(1)",40,50,0.505,0.1884,0.4085,0.479
"79","AR(1)",40,50,0.7525,0.4847,0.8847,0.9177
"80","AR(1)",40,50,1,0.8335,0.9953,0.9978
"81","AR(1)",50,10,0.01,0.0525,0.0496,0.0796
"82","AR(1)",50,10,0.2575,0.1543,0.1718,0.239
"83","AR(1)",50,10,0.505,0.6149,0.7179,0.7833
"84","AR(1)",50,10,0.7525,0.9707,0.9872,0.9924
"85","AR(1)",50,10,1,0.9998,1,1
"86","AR(1)",50,20,0.01,0.0502,0.0462,0.0707
"87","AR(1)",50,20,0.2575,0.1132,0.1425,0.192
"88","AR(1)",50,20,0.505,0.4089,0.6433,0.7017
"89","AR(1)",50,20,0.7525,0.8764,0.9756,0.9826
"90","AR(1)",50,20,1,0.9972,0.9999,0.9999
"91","AR(1)",50,30,0.01,0.054,0.0514,0.0741
"92","AR(1)",50,30,0.2575,0.0956,0.1189,0.159
"93","AR(1)",50,30,0.505,0.3282,0.6076,0.6634
"94","AR(1)",50,30,0.7525,0.7693,0.9721,0.9794
"95","AR(1)",50,30,1,0.9861,1,1
"96","AR(1)",50,50,0.01,0.0538,0.0523,0.0801
"97","AR(1)",50,50,0.2575,0.0807,0.1106,0.1476
"98","AR(1)",50,50,0.505,0.2405,0.5535,0.611
"99","AR(1)",50,50,0.7525,0.6177,0.9577,0.971
"100","AR(1)",50,50,1,0.9406,0.9998,0.9997
"101","AR(2)",10,10,0.01,0.0518,0.043,0.2287
"102","AR(2)",10,10,0.2575,0.0935,0.0805,0.3269
"103","AR(2)",10,10,0.505,0.2649,0.2411,0.6142
"104","AR(2)",10,10,0.7525,0.619,0.5594,0.8827
"105","AR(2)",10,10,1,0.9028,0.8512,0.9841
"106","AR(2)",10,20,0.01,0.0533,0.0397,0.2387
"107","AR(2)",10,20,0.2575,0.0712,0.061,0.3134
"108","AR(2)",10,20,0.505,0.1468,0.1831,0.5656
"109","AR(2)",10,20,0.7525,0.3476,0.4732,0.8613
"110","AR(2)",10,20,1,0.6769,0.7824,0.9779
"111","AR(2)",10,30,0.01,0.0506,0.0337,0.2348
"112","AR(2)",10,30,0.2575,0.0665,0.0551,0.3052
"113","AR(2)",10,30,0.505,0.1097,0.1478,0.5333
"114","AR(2)",10,30,0.7525,0.2172,0.4166,0.8325
