"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"87","AR(1)",50,20,0.2575,0.1127,0.1402,0.1549
"88","AR(1)",50,20,0.505,0.4135,0.6534,0.6979
"89","AR(1)",50,20,0.7525,0.8771,0.9758,0.9841
"90","AR(1)",50,20,1,0.9975,0.9999,0.9999
"91","AR(1)",50,30,0.01,0.0478,0.0475,0.0483
"92","AR(1)",50,30,0.2575,0.1003,0.1229,0.1391
"93","AR(1)",50,30,0.505,0.3193,0.6011,0.6465
"94","AR(1)",50,30,0.7525,0.7716,0.9694,0.9796
"95","AR(1)",50,30,1,0.9869,0.9998,1
"96","AR(1)",50,50,0.01,0.0529,0.0539,0.0558
"97","AR(1)",50,50,0.2575,0.0923,0.1029,0.1128
"98","AR(1)",50,50,0.505,0.236,0.5579,0.6022
"99","AR(1)",50,50,0.7525,0.6159,0.9581,0.972
"100","AR(1)",50,50,1,0.9421,0.9997,0.9998
"101","AR(2)",10,10,0.01,0.0516,0.0443,0.0538
"102","AR(2)",10,10,0.2575,0.0977,0.0838,0.1247
"103","AR(2)",10,10,0.505,0.262,0.2411,0.3847
"104","AR(2)",10,10,0.7525,0.6121,0.5583,0.7643
"105","AR(2)",10,10,1,0.9054,0.8497,0.9602
"106","AR(2)",10,20,0.01,0.0515,0.039,0.0454
"107","AR(2)",10,20,0.2575,0.0661,0.0614,0.0924
"108","AR(2)",10,20,0.505,0.1422,0.1753,0.3305
"109","AR(2)",10,20,0.7525,0.3525,0.468,0.7269
"110","AR(2)",10,20,1,0.6707,0.7805,0.9488
"111","AR(2)",10,30,0.01,0.0524,0.0353,0.0434
"112","AR(2)",10,30,0.2575,0.0616,0.0461,0.0737
"113","AR(2)",10,30,0.505,0.1051,0.1406,0.2889
"114","AR(2)",10,30,0.7525,0.2223,0.418,0.686
"115","AR(2)",10,30,1,0.4644,0.7412,0.9363
"116","AR(2)",10,50,0.01,0.0546,0.0328,0.0392
"117","AR(2)",10,50,0.2575,0.0609,0.0426,0.0641
"118","AR(2)",10,50,0.505,0.0826,0.1189,0.2604
"119","AR(2)",10,50,0.7525,0.1378,0.3511,0.6438
"120","AR(2)",10,50,1,0.2464,0.6608,0.9165
"121","AR(2)",20,10,0.01,0.05,0.0392,0.0431
"122","AR(2)",20,10,0.2575,0.1227,0.1408,0.2048
"123","AR(2)",20,10,0.505,0.5671,0.6505,0.7794
"124","AR(2)",20,10,0.7525,0.9671,0.9753,0.9948
"125","AR(2)",20,10,1,0.9997,0.9999,1
"126","AR(2)",20,20,0.01,0.0495,0.0369,0.039
"127","AR(2)",20,20,0.2575,0.0861,0.1171,0.1803
"128","AR(2)",20,20,0.505,0.2831,0.5873,0.7515
"129","AR(2)",20,20,0.7525,0.7697,0.9588,0.9918
"130","AR(2)",20,20,1,0.9902,0.9997,1
"131","AR(2)",20,30,0.01,0.0512,0.0303,0.0337
"132","AR(2)",20,30,0.2575,0.0761,0.097,0.1582
"133","AR(2)",20,30,0.505,0.1719,0.5286,0.7228
"134","AR(2)",20,30,0.7525,0.5233,0.9537,0.9897
"135","AR(2)",20,30,1,0.9187,0.9997,1
"136","AR(2)",20,50,0.01,0.0519,0.0258,0.029
"137","AR(2)",20,50,0.2575,0.0613,0.074,0.1336
"138","AR(2)",20,50,0.505,0.1054,0.4805,0.6814
"139","AR(2)",20,50,0.7525,0.2522,0.9298,0.9837
"140","AR(2)",20,50,1,0.6068,0.9981,0.9999
"141","AR(2)",30,10,0.01,0.0511,0.0413,0.0445
"142","AR(2)",30,10,0.2575,0.1824,0.2479,0.3364
"143","AR(2)",30,10,0.505,0.8243,0.8939,0.9474
"144","AR(2)",30,10,0.7525,0.9995,0.9995,1
"145","AR(2)",30,10,1,1,1,1
"146","AR(2)",30,20,0.01,0.051,0.0317,0.0336
"147","AR(2)",30,20,0.2575,0.1038,0.204,0.3013
"148","AR(2)",30,20,0.505,0.4785,0.8675,0.9414
"149","AR(2)",30,20,0.7525,0.9751,0.9995,1
"150","AR(2)",30,20,1,1,1,1
"151","AR(2)",30,30,0.01,0.0506,0.0275,0.0292
"152","AR(2)",30,30,0.2575,0.0785,0.1667,0.2691
"153","AR(2)",30,30,0.505,0.289,0.8471,0.9298
"154","AR(2)",30,30,0.7525,0.8449,0.999,0.9999
"155","AR(2)",30,30,1,0.9984,1,1
"156","AR(2)",30,50,0.01,0.0534,0.0247,0.0255
"157","AR(2)",30,50,0.2575,0.0655,0.1389,0.2363
"158","AR(2)",30,50,0.505,0.1396,0.8065,0.9125
"159","AR(2)",30,50,0.7525,0.4568,0.997,0.9997
"160","AR(2)",30,50,1,0.9247,1,1
"161","AR(2)",40,10,0.01,0.0526,0.0392,0.0405
"162","AR(2)",40,10,0.2575,0.2584,0.3683,0.4652
"163","AR(2)",40,10,0.505,0.9521,0.9758,0.992
"164","AR(2)",40,10,0.7525,1,1,1
"165","AR(2)",40,10,1,1,1,1
"166","AR(2)",40,20,0.01,0.0509,0.0337,0.0337
"167","AR(2)",40,20,0.2575,0.1329,0.3148,0.4285
"168","AR(2)",40,20,0.505,0.7053,0.9673,0.99
"169","AR(2)",40,20,0.7525,0.9995,1,1
"170","AR(2)",40,20,1,1,1,1
"171","AR(2)",40,30,0.01,0.0523,0.0304,0.0305
"172","AR(2)",40,30,0.2575,0.0933,0.2801,0.3979
"173","AR(2)",40,30,0.505,0.4159,0.9597,0.9862
"174","AR(2)",40,30,0.7525,0.9799,1,1
"175","AR(2)",40,30,1,1,1,1
"176","AR(2)",40,50,0.01,0.052,0.0256,0.0248
"177","AR(2)",40,50,0.2575,0.073,0.2381,0.3604
"178","AR(2)",40,50,0.505,0.1977,0.9466,0.9835
"179","AR(2)",40,50,0.7525,0.7153,1,1
"180","AR(2)",40,50,1,0.9973,1,1
"181","AR(2)",50,10,0.01,0.0487,0.0405,0.0403
"182","AR(2)",50,10,0.2575,0.3343,0.4929,0.5874
"183","AR(2)",50,10,0.505,0.9907,0.9962,0.9996
"184","AR(2)",50,10,0.7525,1,1,1
"185","AR(2)",50,10,1,1,1,1
"186","AR(2)",50,20,0.01,0.051,0.0335,0.0327
"187","AR(2)",50,20,0.2575,0.1573,0.4312,0.5467
"188","AR(2)",50,20,0.505,0.8675,0.9938,0.9981
"189","AR(2)",50,20,0.7525,1,1,1
"190","AR(2)",50,20,1,1,1,1
"191","AR(2)",50,30,0.01,0.0513,0.0278,0.028
"192","AR(2)",50,30,0.2575,0.1036,0.3857,0.5126
"193","AR(2)",50,30,0.505,0.6069,0.9939,0.9986
"194","AR(2)",50,30,0.7525,0.9996,1,1
"195","AR(2)",50,30,1,1,1,1
"196","AR(2)",50,50,0.01,0.0513,0.0261,0.0253
"197","AR(2)",50,50,0.2575,0.0777,0.3348,0.4676
"198","AR(2)",50,50,0.505,0.2617,0.9905,0.998
"199","AR(2)",50,50,0.7525,0.9072,1,1
"200","AR(2)",50,50,1,1,1,1
"201","Toeplitz",10,10,0.01,0.0516,0.0405,0.0511
"202","Toeplitz",10,10,0.2575,0.0728,0.0591,0.0877
"203","Toeplitz",10,10,0.505,0.1527,0.1393,0.2331
"204","Toeplitz",10,10,0.7525,0.3526,0.3284,0.5233
"205","Toeplitz",10,10,1,0.6488,0.5934,0.8001
"206","Toeplitz",10,20,0.01,0.0554,0.0388,0.0448
"207","Toeplitz",10,20,0.2575,0.0611,0.0492,0.0706
"208","Toeplitz",10,20,0.505,0.098,0.1005,0.1936
"209","Toeplitz",10,20,0.7525,0.1753,0.2328,0.443
"210","Toeplitz",10,20,1,0.3466,0.4715,0.735
"211","Toeplitz",10,30,0.01,0.0532,0.0359,0.0394
"212","Toeplitz",10,30,0.2575,0.0537,0.0374,0.0548
"213","Toeplitz",10,30,0.505,0.076,0.0742,0.1562
"214","Toeplitz",10,30,0.7525,0.123,0.1975,0.4006
"215","Toeplitz",10,30,1,0.2221,0.416,0.6961
"216","Toeplitz",10,50,0.01,0.0542,0.0295,0.0342
"217","Toeplitz",10,50,0.2575,0.0579,0.0348,0.0474
"218","Toeplitz",10,50,0.505,0.0675,0.0621,0.1273
"219","Toeplitz",10,50,0.7525,0.085,0.15,0.3469
"220","Toeplitz",10,50,1,0.1264,0.3313,0.6324
"221","Toeplitz",20,10,0.01,0.0543,0.0406,0.0432
"222","Toeplitz",20,10,0.2575,0.0941,0.0913,0.1355
"223","Toeplitz",20,10,0.505,0.3002,0.3797,0.5158
"224","Toeplitz",20,10,0.7525,0.7439,0.8064,0.9035
"225","Toeplitz",20,10,1,0.9744,0.9793,0.9948
"226","Toeplitz",20,20,0.01,0.0473,0.0331,0.0349
"227","Toeplitz",20,20,0.2575,0.0673,0.0653,0.103
"228","Toeplitz",20,20,0.505,0.1458,0.2973,0.4548
"229","Toeplitz",20,20,0.7525,0.3799,0.7262,0.8644
"230","Toeplitz",20,20,1,0.7775,0.9649,0.9937
"231","Toeplitz",20,30,0.01,0.0504,0.029,0.0323
"232","Toeplitz",20,30,0.2575,0.0604,0.0503,0.0811
"233","Toeplitz",20,30,0.505,0.1034,0.2518,0.4169
"234","Toeplitz",20,30,0.7525,0.2136,0.6745,0.8435
"235","Toeplitz",20,30,1,0.4977,0.9406,0.9883
"236","Toeplitz",20,50,0.01,0.0552,0.0236,0.0253
"237","Toeplitz",20,50,0.2575,0.0577,0.0434,0.075
"238","Toeplitz",20,50,0.505,0.076,0.2029,0.3567
"239","Toeplitz",20,50,0.7525,0.1277,0.615,0.81
"240","Toeplitz",20,50,1,0.2405,0.919,0.9834
"241","Toeplitz",30,10,0.01,0.0498,0.0406,0.0422
"242","Toeplitz",30,10,0.2575,0.1123,0.1429,0.2013
"243","Toeplitz",30,10,0.505,0.4863,0.6371,0.749
"244","Toeplitz",30,10,0.7525,0.9494,0.9712,0.9915
"245","Toeplitz",30,10,1,0.9997,0.9996,1
"246","Toeplitz",30,20,0.01,0.0535,0.0326,0.0343
"247","Toeplitz",30,20,0.2575,0.0714,0.1021,0.1571
