"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0523,0.0503,0.0599
"2","AR(1)",10,10,0.03,0.055,0.0541,0.065
"3","AR(1)",10,10,0.05,0.0669,0.056,0.0691
"4","AR(1)",10,10,0.07,0.1126,0.0852,0.1066
"5","AR(1)",10,10,0.1,0.3345,0.1976,0.2609
"6","AR(1)",10,20,0.01,0.0501,0.0502,0.0563
"7","AR(1)",10,20,0.03,0.0905,0.0646,0.0814
"8","AR(1)",10,20,0.05,0.4665,0.2252,0.3084
"9","AR(1)",10,20,0.07,0.98,0.7616,0.8753
"10","AR(1)",10,20,0.1,1,1,1
"11","AR(1)",10,30,0.01,0.0558,0.0533,0.0601
"12","AR(1)",10,30,0.03,0.3873,0.1631,0.2166
"13","AR(1)",10,30,0.05,0.9998,0.9145,0.9762
"14","AR(1)",10,30,0.07,1,1,1
"15","AR(1)",10,30,0.1,1,1,1
"16","AR(1)",10,50,0.01,0.0873,0.0639,0.0754
"17","AR(1)",10,50,0.03,1,0.953,0.9912
"18","AR(1)",10,50,0.05,1,1,1
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.0506,0.0469,0.0511
"22","AR(1)",20,10,0.03,0.0577,0.049,0.0556
"23","AR(1)",20,10,0.05,0.0842,0.0654,0.0746
"24","AR(1)",20,10,0.07,0.1889,0.1319,0.1545
"25","AR(1)",20,10,0.1,0.6547,0.4689,0.5382
"26","AR(1)",20,20,0.01,0.0533,0.0482,0.0573
"27","AR(1)",20,20,0.03,0.1545,0.1018,0.1152
"28","AR(1)",20,20,0.05,0.8275,0.5509,0.6245
"29","AR(1)",20,20,0.07,1,0.9977,0.9993
"30","AR(1)",20,20,0.1,1,1,1
"31","AR(1)",20,30,0.01,0.0575,0.053,0.0594
"32","AR(1)",20,30,0.03,0.7475,0.4033,0.4741
"33","AR(1)",20,30,0.05,1,0.9999,1
"34","AR(1)",20,30,0.07,1,1,1
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.1263,0.0786,0.088
"37","AR(1)",20,50,0.03,1,1,1
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.0496,0.0492,0.05
"42","AR(1)",30,10,0.03,0.058,0.0534,0.0565
"43","AR(1)",30,10,0.05,0.1056,0.0835,0.0901
"44","AR(1)",30,10,0.07,0.2691,0.1868,0.2129
"45","AR(1)",30,10,0.1,0.8394,0.6926,0.7433
"46","AR(1)",30,20,0.01,0.0535,0.0496,0.0541
"47","AR(1)",30,20,0.03,0.2137,0.1359,0.1507
"48","AR(1)",30,20,0.05,0.9614,0.8092,0.8486
