"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"1","AR(1)",10,10,0.01,0.0534,0.0499
"2","AR(1)",10,10,0.03,0.0544,0.0536
"3","AR(1)",10,10,0.05,0.0658,0.0595
"4","AR(1)",10,10,0.07,0.1083,0.0784
"5","AR(1)",10,10,0.1,0.3397,0.2075
"6","AR(1)",10,20,0.01,0.0484,0.0458
"7","AR(1)",10,20,0.03,0.0937,0.0665
"8","AR(1)",10,20,0.05,0.4783,0.2289
"9","AR(1)",10,20,0.07,0.979,0.7497
"10","AR(1)",10,20,0.1,1,1
"11","AR(1)",10,30,0.01,0.0555,0.0507
"12","AR(1)",10,30,0.03,0.3851,0.1632
"13","AR(1)",10,30,0.05,0.9999,0.9158
"14","AR(1)",10,30,0.07,1,1
"15","AR(1)",10,30,0.1,1,1
"16","AR(1)",10,50,0.01,0.0798,0.0635
"17","AR(1)",10,50,0.03,1,0.9465
"18","AR(1)",10,50,0.05,1,1
"19","AR(1)",10,50,0.07,1,1
"20","AR(1)",10,50,0.1,1,1
"21","AR(1)",20,10,0.01,0.0555,0.0495
"22","AR(1)",20,10,0.03,0.0589,0.0477
"23","AR(1)",20,10,0.05,0.0874,0.0699
"24","AR(1)",20,10,0.07,0.1898,0.1297
"25","AR(1)",20,10,0.1,0.6411,0.4697
"26","AR(1)",20,20,0.01,0.0546,0.0549
"27","AR(1)",20,20,0.03,0.1475,0.0932
"28","AR(1)",20,20,0.05,0.8286,0.5611
"29","AR(1)",20,20,0.07,1,0.9977
"30","AR(1)",20,20,0.1,1,1
"31","AR(1)",20,30,0.01,0.0575,0.0517
"32","AR(1)",20,30,0.03,0.7471,0.4113
"33","AR(1)",20,30,0.05,1,1
"34","AR(1)",20,30,0.07,1,1
"35","AR(1)",20,30,0.1,1,1
"36","AR(1)",20,50,0.01,0.1247,0.0808
"37","AR(1)",20,50,0.03,1,1
"38","AR(1)",20,50,0.05,1,1
"39","AR(1)",20,50,0.07,1,1
"40","AR(1)",20,50,0.1,1,1
"41","AR(1)",30,10,0.01,0.056,0.0524
"42","AR(1)",30,10,0.03,0.0573,0.0548
"43","AR(1)",30,10,0.05,0.1037,0.0822
"44","AR(1)",30,10,0.07,0.2725,0.1856
"45","AR(1)",30,10,0.1,0.8334,0.6974
"46","AR(1)",30,20,0.01,0.0526,0.0552
"47","AR(1)",30,20,0.03,0.2102,0.131
"48","AR(1)",30,20,0.05,0.9589,0.8142
"49","AR(1)",30,20,0.07,1,1
"50","AR(1)",30,20,0.1,1,1
"51","AR(1)",30,30,0.01,0.0625,0.0543
"52","AR(1)",30,30,0.03,0.9231,0.6471
"53","AR(1)",30,30,0.05,1,1
"54","AR(1)",30,30,0.07,1,1
"55","AR(1)",30,30,0.1,1,1
"56","AR(1)",30,50,0.01,0.1731,0.0968
"57","AR(1)",30,50,0.03,1,1
"58","AR(1)",30,50,0.05,1,1
"59","AR(1)",30,50,0.07,1,1
"60","AR(1)",30,50,0.1,1,1
"61","AR(1)",40,10,0.01,0.0523,0.0491
"62","AR(1)",40,10,0.03,0.0587,0.0577
"63","AR(1)",40,10,0.05,0.1173,0.0866
"64","AR(1)",40,10,0.07,0.3574,0.2587
"65","AR(1)",40,10,0.1,0.9341,0.8449
"66","AR(1)",40,20,0.01,0.0503,0.0472
"67","AR(1)",40,20,0.03,0.2852,0.1807
"68","AR(1)",40,20,0.05,0.9931,0.9332
"69","AR(1)",40,20,0.07,1,1
"70","AR(1)",40,20,0.1,1,1
"71","AR(1)",40,30,0.01,0.0625,0.0526
"72","AR(1)",40,30,0.03,0.9793,0.8242
"73","AR(1)",40,30,0.05,1,1
"74","AR(1)",40,30,0.07,1,1
"75","AR(1)",40,30,0.1,1,1
"76","AR(1)",40,50,0.01,0.2169,0.1173
"77","AR(1)",40,50,0.03,1,1
"78","AR(1)",40,50,0.05,1,1
"79","AR(1)",40,50,0.07,1,1
"80","AR(1)",40,50,0.1,1,1
"81","AR(1)",50,10,0.01,0.053,0.0471
"82","AR(1)",50,10,0.03,0.0595,0.0537
"83","AR(1)",50,10,0.05,0.147,0.1087
"84","AR(1)",50,10,0.07,0.4401,0.3185
"85","AR(1)",50,10,0.1,0.9749,0.9328
"86","AR(1)",50,20,0.01,0.0542,0.0476
"87","AR(1)",50,20,0.03,0.347,0.211
"88","AR(1)",50,20,0.05,0.9987,0.9775
"89","AR(1)",50,20,0.07,1,1
"90","AR(1)",50,20,0.1,1,1
"91","AR(1)",50,30,0.01,0.0692,0.0578
"92","AR(1)",50,30,0.03,0.9968,0.9202
"93","AR(1)",50,30,0.05,1,1
"94","AR(1)",50,30,0.07,1,1
"95","AR(1)",50,30,0.1,1,1
"96","AR(1)",50,50,0.01,0.28,0.1389
"97","AR(1)",50,50,0.03,1,1
"98","AR(1)",50,50,0.05,1,1
"99","AR(1)",50,50,0.07,1,1
"100","AR(1)",50,50,0.1,1,1
"101","AR(2)",10,10,0.01,0.0532,0.0431
"102","AR(2)",10,10,0.03,0.0565,0.0425
"103","AR(2)",10,10,0.05,0.0904,0.062
"104","AR(2)",10,10,0.07,0.1919,0.1185
"105","AR(2)",10,10,0.1,0.6076,0.4204
"106","AR(2)",10,20,0.01,0.0564,0.0364
"107","AR(2)",10,20,0.03,0.1376,0.0796
"108","AR(2)",10,20,0.05,0.6855,0.4518
"109","AR(2)",10,20,0.07,0.9978,0.9715
"110","AR(2)",10,20,0.1,1,1
"111","AR(2)",10,30,0.01,0.0567,0.0345
"112","AR(2)",10,30,0.03,0.5294,0.2877
"113","AR(2)",10,30,0.05,1,0.9945
"114","AR(2)",10,30,0.07,1,1
"115","AR(2)",10,30,0.1,1,1
"116","AR(2)",10,50,0.01,0.0977,0.0439
"117","AR(2)",10,50,0.03,1,0.9901
"118","AR(2)",10,50,0.05,1,1
"119","AR(2)",10,50,0.07,1,1
"120","AR(2)",10,50,0.1,1,1
"121","AR(2)",20,10,0.01,0.0532,0.041
"122","AR(2)",20,10,0.03,0.0618,0.0454
"123","AR(2)",20,10,0.05,0.1326,0.0929
"124","AR(2)",20,10,0.07,0.368,0.2483
"125","AR(2)",20,10,0.1,0.9221,0.8469
"126","AR(2)",20,20,0.01,0.0518,0.0371
"127","AR(2)",20,20,0.03,0.243,0.1409
"128","AR(2)",20,20,0.05,0.9593,0.8898
"129","AR(2)",20,20,0.07,1,1
"130","AR(2)",20,20,0.1,1,1
"131","AR(2)",20,30,0.01,0.066,0.035
"132","AR(2)",20,30,0.03,0.8564,0.6946
"133","AR(2)",20,30,0.05,1,1
"134","AR(2)",20,30,0.07,1,1
"135","AR(2)",20,30,0.1,1,1
"136","AR(2)",20,50,0.01,0.155,0.0684
"137","AR(2)",20,50,0.03,1,1
"138","AR(2)",20,50,0.05,1,1
"139","AR(2)",20,50,0.07,1,1
"140","AR(2)",20,50,0.1,1,1
"141","AR(2)",30,10,0.01,0.053,0.0403
"142","AR(2)",30,10,0.03,0.0656,0.0501
"143","AR(2)",30,10,0.05,0.1744,0.1171
"144","AR(2)",30,10,0.07,0.5261,0.3961
"145","AR(2)",30,10,0.1,0.9888,0.974
"146","AR(2)",30,20,0.01,0.0565,0.0355
"147","AR(2)",30,20,0.03,0.3562,0.2198
"148","AR(2)",30,20,0.05,0.9961,0.9874
"149","AR(2)",30,20,0.07,1,1
"150","AR(2)",30,20,0.1,1,1
"151","AR(2)",30,30,0.01,0.0676,0.0366
"152","AR(2)",30,30,0.03,0.9642,0.9057
"153","AR(2)",30,30,0.05,1,1
"154","AR(2)",30,30,0.07,1,1
"155","AR(2)",30,30,0.1,1,1
"156","AR(2)",30,50,0.01,0.21,0.0936
"157","AR(2)",30,50,0.03,1,1
"158","AR(2)",30,50,0.05,1,1
"159","AR(2)",30,50,0.07,1,1
"160","AR(2)",30,50,0.1,1,1
"161","AR(2)",40,10,0.01,0.0507,0.04
"162","AR(2)",40,10,0.03,0.0681,0.0508
"163","AR(2)",40,10,0.05,0.2223,0.1478
"164","AR(2)",40,10,0.07,0.6659,0.5442
"165","AR(2)",40,10,0.1,0.9985,0.9964
"166","AR(2)",40,20,0.01,0.0559,0.0373
"167","AR(2)",40,20,0.03,0.4685,0.3219
"168","AR(2)",40,20,0.05,0.9996,0.9993
"169","AR(2)",40,20,0.07,1,1
"170","AR(2)",40,20,0.1,1,1
"171","AR(2)",40,30,0.01,0.0757,0.0374
"172","AR(2)",40,30,0.03,0.9934,0.98
"173","AR(2)",40,30,0.05,1,1
"174","AR(2)",40,30,0.07,1,1
"175","AR(2)",40,30,0.1,1,1
"176","AR(2)",40,50,0.01,0.2761,0.1273
"177","AR(2)",40,50,0.03,1,1
"178","AR(2)",40,50,0.05,1,1
"179","AR(2)",40,50,0.07,1,1
"180","AR(2)",40,50,0.1,1,1
"181","AR(2)",50,10,0.01,0.0519,0.0439
"182","AR(2)",50,10,0.03,0.0793,0.056
"183","AR(2)",50,10,0.05,0.2714,0.1943
"184","AR(2)",50,10,0.07,0.7626,0.6673
"185","AR(2)",50,10,0.1,0.9998,0.9998
"186","AR(2)",50,20,0.01,0.059,0.0359
"187","AR(2)",50,20,0.03,0.5554,0.4071
"188","AR(2)",50,20,0.05,1,0.9998
"189","AR(2)",50,20,0.07,1,1
"190","AR(2)",50,20,0.1,1,1
"191","AR(2)",50,30,0.01,0.0822,0.0415
"192","AR(2)",50,30,0.03,0.9989,0.9962
"193","AR(2)",50,30,0.05,1,1
"194","AR(2)",50,30,0.07,1,1
"195","AR(2)",50,30,0.1,1,1
"196","AR(2)",50,50,0.01,0.3275,0.1622
"197","AR(2)",50,50,0.03,1,1
"198","AR(2)",50,50,0.05,1,1
"199","AR(2)",50,50,0.07,1,1
"200","AR(2)",50,50,0.1,1,1
"201","Toeplitz",10,10,0.01,0.0497,0.044
"202","Toeplitz",10,10,0.03,0.0535,0.0403
"203","Toeplitz",10,10,0.05,0.0684,0.0506
"204","Toeplitz",10,10,0.07,0.1307,0.085
"205","Toeplitz",10,10,0.1,0.3964,0.2547
"206","Toeplitz",10,20,0.01,0.0569,0.0353
"207","Toeplitz",10,20,0.03,0.1065,0.0618
"208","Toeplitz",10,20,0.05,0.4384,0.2537
"209","Toeplitz",10,20,0.07,0.9484,0.801
"210","Toeplitz",10,20,0.1,1,1
"211","Toeplitz",10,30,0.01,0.0602,0.0367
"212","Toeplitz",10,30,0.03,0.3242,0.156
"213","Toeplitz",10,30,0.05,0.9871,0.8905
"214","Toeplitz",10,30,0.07,1,1
"215","Toeplitz",10,30,0.1,1,1
"216","Toeplitz",10,50,0.01,0.0772,0.0407
"217","Toeplitz",10,50,0.03,0.989,0.8685
"218","Toeplitz",10,50,0.05,1,1
"219","Toeplitz",10,50,0.07,1,1
"220","Toeplitz",10,50,0.1,1,1
"221","Toeplitz",20,10,0.01,0.0447,0.0379
"222","Toeplitz",20,10,0.03,0.0575,0.0404
"223","Toeplitz",20,10,0.05,0.095,0.0638
"224","Toeplitz",20,10,0.07,0.2327,0.1524
"225","Toeplitz",20,10,0.1,0.7189,0.5901
"226","Toeplitz",20,20,0.01,0.0516,0.0347
"227","Toeplitz",20,20,0.03,0.1624,0.0903
"228","Toeplitz",20,20,0.05,0.7789,0.6146
"229","Toeplitz",20,20,0.07,0.9998,0.9985
"230","Toeplitz",20,20,0.1,1,1
"231","Toeplitz",20,30,0.01,0.0583,0.0313
"232","Toeplitz",20,30,0.03,0.6095,0.3916
"233","Toeplitz",20,30,0.05,1,0.9997
"234","Toeplitz",20,30,0.07,1,1
"235","Toeplitz",20,30,0.1,1,1
"236","Toeplitz",20,50,0.01,0.1067,0.0445
"237","Toeplitz",20,50,0.03,1,1
"238","Toeplitz",20,50,0.05,1,1
"239","Toeplitz",20,50,0.07,1,1
"240","Toeplitz",20,50,0.1,1,1
"241","Toeplitz",30,10,0.01,0.0533,0.0375
"242","Toeplitz",30,10,0.03,0.0639,0.0469
"243","Toeplitz",30,10,0.05,0.1208,0.0799
"244","Toeplitz",30,10,0.07,0.3367,0.2402
"245","Toeplitz",30,10,0.1,0.8967,0.8298
"246","Toeplitz",30,20,0.01,0.0521,0.032
"247","Toeplitz",30,20,0.03,0.2261,0.1256
"248","Toeplitz",30,20,0.05,0.9265,0.8474
"249","Toeplitz",30,20,0.07,1,1
"250","Toeplitz",30,20,0.1,1,1
"251","Toeplitz",30,30,0.01,0.0648,0.0338
"252","Toeplitz",30,30,0.03,0.7966,0.6283
"253","Toeplitz",30,30,0.05,1,1
"254","Toeplitz",30,30,0.07,1,1
"255","Toeplitz",30,30,0.1,1,1
"256","Toeplitz",30,50,0.01,0.1389,0.0563
"257","Toeplitz",30,50,0.03,1,1
"258","Toeplitz",30,50,0.05,1,1
"259","Toeplitz",30,50,0.07,1,1
"260","Toeplitz",30,50,0.1,1,1
"261","Toeplitz",40,10,0.01,0.0545,0.0445
"262","Toeplitz",40,10,0.03,0.0636,0.0477
"263","Toeplitz",40,10,0.05,0.1475,0.098
"264","Toeplitz",40,10,0.07,0.4321,0.3193
"265","Toeplitz",40,10,0.1,0.9622,0.9363
"266","Toeplitz",40,20,0.01,0.0509,0.0326
"267","Toeplitz",40,20,0.03,0.2791,0.1661
"268","Toeplitz",40,20,0.05,0.9781,0.9524
"269","Toeplitz",40,20,0.07,1,1
"270","Toeplitz",40,20,0.1,1,1
"271","Toeplitz",40,30,0.01,0.0679,0.0306
"272","Toeplitz",40,30,0.03,0.8957,0.7968
"273","Toeplitz",40,30,0.05,1,1
"274","Toeplitz",40,30,0.07,1,1
"275","Toeplitz",40,30,0.1,1,1
"276","Toeplitz",40,50,0.01,0.1663,0.0706
"277","Toeplitz",40,50,0.03,1,1
"278","Toeplitz",40,50,0.05,1,1
"279","Toeplitz",40,50,0.07,1,1
"280","Toeplitz",40,50,0.1,1,1
"281","Toeplitz",50,10,0.01,0.0524,0.0417
"282","Toeplitz",50,10,0.03,0.07,0.0511
"283","Toeplitz",50,10,0.05,0.1753,0.1139
"284","Toeplitz",50,10,0.07,0.5315,0.4123
"285","Toeplitz",50,10,0.1,0.989,0.981
"286","Toeplitz",50,20,0.01,0.0555,0.0356
"287","Toeplitz",50,20,0.03,0.3567,0.2244
"288","Toeplitz",50,20,0.05,0.9953,0.9885
"289","Toeplitz",50,20,0.07,1,1
"290","Toeplitz",50,20,0.1,1,1
"291","Toeplitz",50,30,0.01,0.0688,0.0327
"292","Toeplitz",50,30,0.03,0.9561,0.9049
"293","Toeplitz",50,30,0.05,1,1
"294","Toeplitz",50,30,0.07,1,1
"295","Toeplitz",50,30,0.1,1,1
"296","Toeplitz",50,50,0.01,0.2046,0.0895
"297","Toeplitz",50,50,0.03,1,1
"298","Toeplitz",50,50,0.05,1,1
"299","Toeplitz",50,50,0.07,1,1
"300","Toeplitz",50,50,0.1,1,1
