"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"1","AR(1)",10,10,0.01,0.0559,0.0523
"2","AR(1)",10,10,0.03,0.0716,0.0623
"3","AR(1)",10,10,0.05,0.1241,0.0855
"4","AR(1)",10,10,0.07,0.2027,0.1274
"5","AR(1)",10,10,0.1,0.3669,0.2091
"6","AR(1)",10,20,0.01,0.0628,0.0532
"7","AR(1)",10,20,0.03,0.1872,0.1022
"8","AR(1)",10,20,0.05,0.4799,0.227
"9","AR(1)",10,20,0.07,0.8009,0.4185
"10","AR(1)",10,20,0.1,0.9876,0.7611
"11","AR(1)",10,30,0.01,0.0901,0.0641
"12","AR(1)",10,30,0.03,0.4837,0.1922
"13","AR(1)",10,30,0.05,0.9287,0.4953
"14","AR(1)",10,30,0.07,0.9989,0.8392
"15","AR(1)",10,30,0.1,1,0.996
"16","AR(1)",10,50,0.01,0.2045,0.0939
"17","AR(1)",10,50,0.03,0.9871,0.5374
"18","AR(1)",10,50,0.05,1,0.97
"19","AR(1)",10,50,0.07,1,1
"20","AR(1)",10,50,0.1,1,1
"21","AR(1)",20,10,0.01,0.0581,0.0548
"22","AR(1)",20,10,0.03,0.1118,0.0836
"23","AR(1)",20,10,0.05,0.2223,0.1439
"24","AR(1)",20,10,0.07,0.3979,0.258
"25","AR(1)",20,10,0.1,0.7046,0.4953
"26","AR(1)",20,20,0.01,0.0799,0.0632
"27","AR(1)",20,20,0.03,0.3826,0.2068
"28","AR(1)",20,20,0.05,0.8352,0.5394
"29","AR(1)",20,20,0.07,0.9891,0.8704
"30","AR(1)",20,20,0.1,1,0.9974
"31","AR(1)",20,30,0.01,0.1299,0.0847
"32","AR(1)",20,30,0.03,0.8481,0.4722
"33","AR(1)",20,30,0.05,0.9996,0.9454
"34","AR(1)",20,30,0.07,1,0.9994
"35","AR(1)",20,30,0.1,1,1
"36","AR(1)",20,50,0.01,0.4123,0.1735
"37","AR(1)",20,50,0.03,1,0.9668
"38","AR(1)",20,50,0.05,1,1
"39","AR(1)",20,50,0.07,1,1
"40","AR(1)",20,50,0.1,1,1
"41","AR(1)",30,10,0.01,0.0628,0.0577
"42","AR(1)",30,10,0.03,0.1324,0.1032
"43","AR(1)",30,10,0.05,0.3218,0.2119
"44","AR(1)",30,10,0.07,0.567,0.3972
"45","AR(1)",30,10,0.1,0.8871,0.7269
"46","AR(1)",30,20,0.01,0.0993,0.069
"47","AR(1)",30,20,0.03,0.5553,0.3221
"48","AR(1)",30,20,0.05,0.9649,0.7931
"49","AR(1)",30,20,0.07,0.9998,0.9848
"50","AR(1)",30,20,0.1,1,1
"51","AR(1)",30,30,0.01,0.1844,0.1031
"52","AR(1)",30,30,0.03,0.9671,0.7197
"53","AR(1)",30,30,0.05,1,0.9983
"54","AR(1)",30,30,0.07,1,1
"55","AR(1)",30,30,0.1,1,1
"56","AR(1)",30,50,0.01,0.6192,0.2675
"57","AR(1)",30,50,0.03,1,0.9997
"58","AR(1)",30,50,0.05,1,1
"59","AR(1)",30,50,0.07,1,1
"60","AR(1)",30,50,0.1,1,1
"61","AR(1)",40,10,0.01,0.0653,0.0565
"62","AR(1)",40,10,0.03,0.1677,0.1225
"63","AR(1)",40,10,0.05,0.4263,0.2893
"64","AR(1)",40,10,0.07,0.7179,0.5422
"65","AR(1)",40,10,0.1,0.962,0.8696
"66","AR(1)",40,20,0.01,0.1159,0.0868
"67","AR(1)",40,20,0.03,0.7074,0.4388
"68","AR(1)",40,20,0.05,0.9941,0.9189
