"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"69","AR(1)",40,20,0.07,1,0.9986
"70","AR(1)",40,20,0.1,1,1
"71","AR(1)",40,30,0.01,0.2415,0.1328
"72","AR(1)",40,30,0.03,0.9926,0.8847
"73","AR(1)",40,30,0.05,1,1
"74","AR(1)",40,30,0.07,1,1
"75","AR(1)",40,30,0.1,1,1
"76","AR(1)",40,50,0.01,0.7709,0.365
"77","AR(1)",40,50,0.03,1,1
"78","AR(1)",40,50,0.05,1,1
"79","AR(1)",40,50,0.07,1,1
"80","AR(1)",40,50,0.1,1,1
"81","AR(1)",50,10,0.01,0.0656,0.0576
"82","AR(1)",50,10,0.03,0.211,0.1488
"83","AR(1)",50,10,0.05,0.5183,0.3568
"84","AR(1)",50,10,0.07,0.8221,0.6525
"85","AR(1)",50,10,0.1,0.9902,0.9468
"86","AR(1)",50,20,0.01,0.1299,0.0929
"87","AR(1)",50,20,0.03,0.8155,0.5617
"88","AR(1)",50,20,0.05,0.9987,0.9752
"89","AR(1)",50,20,0.07,1,1
"90","AR(1)",50,20,0.1,1,1
"91","AR(1)",50,30,0.01,0.3006,0.1591
"92","AR(1)",50,30,0.03,0.9992,0.9554
"93","AR(1)",50,30,0.05,1,1
"94","AR(1)",50,30,0.07,1,1
"95","AR(1)",50,30,0.1,1,1
"96","AR(1)",50,50,0.01,0.8745,0.4691
"97","AR(1)",50,50,0.03,1,1
"98","AR(1)",50,50,0.05,1,1
"99","AR(1)",50,50,0.07,1,1
"100","AR(1)",50,50,0.1,1,1
"101","AR(2)",10,10,0.01,0.0586,0.046
"102","AR(2)",10,10,0.03,0.1052,0.0704
"103","AR(2)",10,10,0.05,0.2192,0.1318
"104","AR(2)",10,10,0.07,0.3733,0.2202
"105","AR(2)",10,10,0.1,0.6608,0.4402
"106","AR(2)",10,20,0.01,0.0819,0.0513
"107","AR(2)",10,20,0.03,0.3154,0.1689
"108","AR(2)",10,20,0.05,0.69,0.4242
"109","AR(2)",10,20,0.07,0.9295,0.7223
"110","AR(2)",10,20,0.1,0.9987,0.9649
"111","AR(2)",10,30,0.01,0.1162,0.06
"112","AR(2)",10,30,0.03,0.6047,0.3143
"113","AR(2)",10,30,0.05,0.9602,0.7627
"114","AR(2)",10,30,0.07,0.9993,0.9681
"115","AR(2)",10,30,0.1,1,0.9998
"116","AR(2)",10,50,0.01,0.2421,0.0975
"117","AR(2)",10,50,0.03,0.9599,0.7286
"118","AR(2)",10,50,0.05,1,0.9937
"119","AR(2)",10,50,0.07,1,1
"120","AR(2)",10,50,0.1,1,1
"121","AR(2)",20,10,0.01,0.0658,0.0493
"122","AR(2)",20,10,0.03,0.1877,0.1144
"123","AR(2)",20,10,0.05,0.4179,0.2711
"124","AR(2)",20,10,0.07,0.7017,0.5127
"125","AR(2)",20,10,0.1,0.9455,0.8501
"126","AR(2)",20,20,0.01,0.1164,0.065
"127","AR(2)",20,20,0.03,0.5973,0.3697
"128","AR(2)",20,20,0.05,0.9563,0.8415
"129","AR(2)",20,20,0.07,0.9989,0.9919
"130","AR(2)",20,20,0.1,1,1
"131","AR(2)",20,30,0.01,0.1913,0.0868
"132","AR(2)",20,30,0.03,0.9122,0.7204
"133","AR(2)",20,30,0.05,0.9999,0.9959
"134","AR(2)",20,30,0.07,1,1
"135","AR(2)",20,30,0.1,1,1
"136","AR(2)",20,50,0.01,0.4659,0.2214
"137","AR(2)",20,50,0.03,0.9998,0.9948
"138","AR(2)",20,50,0.05,1,1
"139","AR(2)",20,50,0.07,1,1
"140","AR(2)",20,50,0.1,1,1
"141","AR(2)",30,10,0.01,0.0694,0.0475
"142","AR(2)",30,10,0.03,0.2665,0.1658
"143","AR(2)",30,10,0.05,0.5941,0.4243
"144","AR(2)",30,10,0.07,0.8687,0.741
"145","AR(2)",30,10,0.1,0.9939,0.9713
"146","AR(2)",30,20,0.01,0.149,0.0819
"147","AR(2)",30,20,0.03,0.7812,0.5739
"148","AR(2)",30,20,0.05,0.9953,0.9773
"149","AR(2)",30,20,0.07,1,1
"150","AR(2)",30,20,0.1,1,1
"151","AR(2)",30,30,0.01,0.28,0.1382
"152","AR(2)",30,30,0.03,0.9841,0.9234
"153","AR(2)",30,30,0.05,1,1
"154","AR(2)",30,30,0.07,1,1
"155","AR(2)",30,30,0.1,1,1
"156","AR(2)",30,50,0.01,0.633,0.355
"157","AR(2)",30,50,0.03,1,1
"158","AR(2)",30,50,0.05,1,1
"159","AR(2)",30,50,0.07,1,1
"160","AR(2)",30,50,0.1,1,1
"161","AR(2)",40,10,0.01,0.0805,0.0547
"162","AR(2)",40,10,0.03,0.3365,0.2153
"163","AR(2)",40,10,0.05,0.7264,0.5592
"164","AR(2)",40,10,0.07,0.9467,0.8715
"165","AR(2)",40,10,0.1,0.999,0.9958
"166","AR(2)",40,20,0.01,0.1798,0.0963
"167","AR(2)",40,20,0.03,0.8953,0.7413
"168","AR(2)",40,20,0.05,0.9999,0.9966
"169","AR(2)",40,20,0.07,1,1
"170","AR(2)",40,20,0.1,1,1
"171","AR(2)",40,30,0.01,0.3561,0.182
"172","AR(2)",40,30,0.03,0.998,0.985
"173","AR(2)",40,30,0.05,1,1
"174","AR(2)",40,30,0.07,1,1
"175","AR(2)",40,30,0.1,1,1
"176","AR(2)",40,50,0.01,0.7641,0.4978
"177","AR(2)",40,50,0.03,1,1
"178","AR(2)",40,50,0.05,1,1
"179","AR(2)",40,50,0.07,1,1
"180","AR(2)",40,50,0.1,1,1
"181","AR(2)",50,10,0.01,0.0859,0.0589
"182","AR(2)",50,10,0.03,0.3994,0.2702
"183","AR(2)",50,10,0.05,0.8274,0.686
"184","AR(2)",50,10,0.07,0.9815,0.9445
"185","AR(2)",50,10,0.1,0.9999,0.9998
"186","AR(2)",50,20,0.01,0.2146,0.1147
"187","AR(2)",50,20,0.03,0.9468,0.8521
"188","AR(2)",50,20,0.05,0.9998,0.9997
"189","AR(2)",50,20,0.07,1,1
"190","AR(2)",50,20,0.1,1,1
"191","AR(2)",50,30,0.01,0.4319,0.2365
"192","AR(2)",50,30,0.03,0.9998,0.9979
"193","AR(2)",50,30,0.05,1,1
"194","AR(2)",50,30,0.07,1,1
"195","AR(2)",50,30,0.1,1,1
"196","AR(2)",50,50,0.01,0.8522,0.6235
"197","AR(2)",50,50,0.03,1,1
"198","AR(2)",50,50,0.05,1,1
"199","AR(2)",50,50,0.07,1,1
"200","AR(2)",50,50,0.1,1,1
"201","Toeplitz",10,10,0.01,0.0524,0.0424
"202","Toeplitz",10,10,0.03,0.0888,0.0604
"203","Toeplitz",10,10,0.05,0.1526,0.0908
"204","Toeplitz",10,10,0.07,0.2399,0.1392
"205","Toeplitz",10,10,0.1,0.4378,0.2581
"206","Toeplitz",10,20,0.01,0.0686,0.0421
"207","Toeplitz",10,20,0.03,0.203,0.1036
"208","Toeplitz",10,20,0.05,0.4491,0.2444
"209","Toeplitz",10,20,0.07,0.7193,0.4452
"210","Toeplitz",10,20,0.1,0.9509,0.7745
"211","Toeplitz",10,30,0.01,0.0834,0.0428
"212","Toeplitz",10,30,0.03,0.3754,0.1796
"213","Toeplitz",10,30,0.05,0.784,0.4684
"214","Toeplitz",10,30,0.07,0.9683,0.7782
"215","Toeplitz",10,30,0.1,0.9998,0.9788
"216","Toeplitz",10,50,0.01,0.153,0.0634
"217","Toeplitz",10,50,0.03,0.7805,0.4321
"218","Toeplitz",10,50,0.05,0.995,0.8784
"219","Toeplitz",10,50,0.07,1,0.9923
"220","Toeplitz",10,50,0.1,1,1
"221","Toeplitz",20,10,0.01,0.0635,0.0454
"222","Toeplitz",20,10,0.03,0.1293,0.0795
"223","Toeplitz",20,10,0.05,0.2747,0.1659
"224","Toeplitz",20,10,0.07,0.4637,0.2987
"225","Toeplitz",20,10,0.1,0.7715,0.5899
"226","Toeplitz",20,20,0.01,0.0852,0.0472
"227","Toeplitz",20,20,0.03,0.3673,0.2006
"228","Toeplitz",20,20,0.05,0.7766,0.5379
"229","Toeplitz",20,20,0.07,0.9682,0.8643
"230","Toeplitz",20,20,0.1,0.9999,0.9953
"231","Toeplitz",20,30,0.01,0.1273,0.0561
"232","Toeplitz",20,30,0.03,0.6949,0.428
"233","Toeplitz",20,30,0.05,0.9828,0.8973
"234","Toeplitz",20,30,0.07,1,0.997
"235","Toeplitz",20,30,0.1,1,1
"236","Toeplitz",20,50,0.01,0.2722,0.1096
"237","Toeplitz",20,50,0.03,0.9846,0.8707
"238","Toeplitz",20,50,0.05,1,0.9997
"239","Toeplitz",20,50,0.07,1,1
"240","Toeplitz",20,50,0.1,1,1
"241","Toeplitz",30,10,0.01,0.0612,0.0424
"242","Toeplitz",30,10,0.03,0.1716,0.1101
"243","Toeplitz",30,10,0.05,0.3949,0.249
"244","Toeplitz",30,10,0.07,0.6502,0.4705
"245","Toeplitz",30,10,0.1,0.9245,0.8185
"246","Toeplitz",30,20,0.01,0.1056,0.0577
"247","Toeplitz",30,20,0.03,0.5273,0.3238
"248","Toeplitz",30,20,0.05,0.927,0.7897
"249","Toeplitz",30,20,0.07,0.9983,0.9826
"250","Toeplitz",30,20,0.1,1,1
"251","Toeplitz",30,30,0.01,0.1754,0.076
"252","Toeplitz",30,30,0.03,0.859,0.6458
"253","Toeplitz",30,30,0.05,0.9987,0.9897
"254","Toeplitz",30,30,0.07,1,1
"255","Toeplitz",30,30,0.1,1,1
"256","Toeplitz",30,50,0.01,0.3983,0.1759
"257","Toeplitz",30,50,0.03,0.999,0.9855
"258","Toeplitz",30,50,0.05,1,1
"259","Toeplitz",30,50,0.07,1,1
"260","Toeplitz",30,50,0.1,1,1
"261","Toeplitz",40,10,0.01,0.0688,0.0492
"262","Toeplitz",40,10,0.03,0.2183,0.1329
"263","Toeplitz",40,10,0.05,0.5007,0.3366
"264","Toeplitz",40,10,0.07,0.7768,0.6126
"265","Toeplitz",40,10,0.1,0.9727,0.9178
"266","Toeplitz",40,20,0.01,0.1235,0.0674
"267","Toeplitz",40,20,0.03,0.6588,0.4392
"268","Toeplitz",40,20,0.05,0.9797,0.9179
"269","Toeplitz",40,20,0.07,1,0.9982
"270","Toeplitz",40,20,0.1,1,1
"271","Toeplitz",40,30,0.01,0.2219,0.1033
"272","Toeplitz",40,30,0.03,0.9422,0.8104
"273","Toeplitz",40,30,0.05,0.9999,0.9997
"274","Toeplitz",40,30,0.07,1,1
"275","Toeplitz",40,30,0.1,1,1
"276","Toeplitz",40,50,0.01,0.5044,0.2458
"277","Toeplitz",40,50,0.03,1,0.9988
"278","Toeplitz",40,50,0.05,1,1
"279","Toeplitz",40,50,0.07,1,1
"280","Toeplitz",40,50,0.1,1,1
"281","Toeplitz",50,10,0.01,0.0765,0.0508
"282","Toeplitz",50,10,0.03,0.2587,0.1629
"283","Toeplitz",50,10,0.05,0.5921,0.4206
"284","Toeplitz",50,10,0.07,0.8659,0.7402
"285","Toeplitz",50,10,0.1,0.9923,0.9733
"286","Toeplitz",50,20,0.01,0.1446,0.0799
"287","Toeplitz",50,20,0.03,0.7608,0.5575
"288","Toeplitz",50,20,0.05,0.9939,0.968
"289","Toeplitz",50,20,0.07,1,1
"290","Toeplitz",50,20,0.1,1,1
"291","Toeplitz",50,30,0.01,0.2677,0.1244
"292","Toeplitz",50,30,0.03,0.9803,0.9104
"293","Toeplitz",50,30,0.05,0.9999,0.9999
"294","Toeplitz",50,30,0.07,1,1
"295","Toeplitz",50,30,0.1,1,1
"296","Toeplitz",50,50,0.01,0.5934,0.3185
"297","Toeplitz",50,50,0.03,1,0.9998
"298","Toeplitz",50,50,0.05,1,1
"299","Toeplitz",50,50,0.07,1,1
"300","Toeplitz",50,50,0.1,1,1
