"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0498,0.0505,0.06
"2","AR(1)",10,10,0.03,0.0541,0.0528,0.0609
"3","AR(1)",10,10,0.05,0.0662,0.0546,0.0689
"4","AR(1)",10,10,0.07,0.1157,0.0851,0.1064
"5","AR(1)",10,10,0.1,0.3384,0.2026,0.2637
"6","AR(1)",10,20,0.01,0.0559,0.0504,0.062
"7","AR(1)",10,20,0.03,0.0943,0.071,0.0847
"8","AR(1)",10,20,0.05,0.4728,0.2263,0.3102
"9","AR(1)",10,20,0.07,0.98,0.7503,0.8746
"10","AR(1)",10,20,0.1,1,1,1
"11","AR(1)",10,30,0.01,0.0552,0.0529,0.0606
"12","AR(1)",10,30,0.03,0.3953,0.1663,0.2237
"13","AR(1)",10,30,0.05,0.9998,0.914,0.9785
"14","AR(1)",10,30,0.07,1,1,1
"15","AR(1)",10,30,0.1,1,1,1
"16","AR(1)",10,50,0.01,0.0863,0.0639,0.0766
"17","AR(1)",10,50,0.03,1,0.9496,0.9912
"18","AR(1)",10,50,0.05,1,1,1
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.0505,0.0471,0.0529
"22","AR(1)",20,10,0.03,0.0522,0.0498,0.053
"23","AR(1)",20,10,0.05,0.0802,0.0645,0.0756
"24","AR(1)",20,10,0.07,0.1876,0.1327,0.1529
"25","AR(1)",20,10,0.1,0.6408,0.4603,0.5298
"26","AR(1)",20,20,0.01,0.0553,0.0504,0.0542
"27","AR(1)",20,20,0.03,0.1521,0.096,0.1113
"28","AR(1)",20,20,0.05,0.8248,0.5565,0.6308
"29","AR(1)",20,20,0.07,1,0.9979,0.9988
"30","AR(1)",20,20,0.1,1,1,1
"31","AR(1)",20,30,0.01,0.0587,0.0525,0.0575
"32","AR(1)",20,30,0.03,0.7495,0.4186,0.4829
"33","AR(1)",20,30,0.05,1,1,1
"34","AR(1)",20,30,0.07,1,1,1
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.1282,0.0852,0.0943
"37","AR(1)",20,50,0.03,1,1,1
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.0486,0.0456,0.0491
"42","AR(1)",30,10,0.03,0.0512,0.0495,0.0527
"43","AR(1)",30,10,0.05,0.1072,0.0803,0.0886
"44","AR(1)",30,10,0.07,0.2755,0.1933,0.2185
"45","AR(1)",30,10,0.1,0.8414,0.704,0.7529
"46","AR(1)",30,20,0.01,0.054,0.0484,0.0517
"47","AR(1)",30,20,0.03,0.2212,0.1366,0.1549
"48","AR(1)",30,20,0.05,0.9577,0.8053,0.8481
"49","AR(1)",30,20,0.07,1,0.9999,1
"50","AR(1)",30,20,0.1,1,1,1
"51","AR(1)",30,30,0.01,0.0618,0.0553,0.0576
"52","AR(1)",30,30,0.03,0.9188,0.6456,0.7012
"53","AR(1)",30,30,0.05,1,1,1
"54","AR(1)",30,30,0.07,1,1,1
"55","AR(1)",30,30,0.1,1,1,1
"56","AR(1)",30,50,0.01,0.1649,0.0985,0.1084
"57","AR(1)",30,50,0.03,1,1,1
"58","AR(1)",30,50,0.05,1,1,1
"59","AR(1)",30,50,0.07,1,1,1
"60","AR(1)",30,50,0.1,1,1,1
"61","AR(1)",40,10,0.01,0.0481,0.0468,0.0502
"62","AR(1)",40,10,0.03,0.0571,0.053,0.0568
"63","AR(1)",40,10,0.05,0.1236,0.0941,0.1032
"64","AR(1)",40,10,0.07,0.3629,0.2588,0.2831
"65","AR(1)",40,10,0.1,0.9377,0.854,0.8781
"66","AR(1)",40,20,0.01,0.0516,0.0503,0.0521
"67","AR(1)",40,20,0.03,0.2826,0.1757,0.1916
"68","AR(1)",40,20,0.05,0.9931,0.9356,0.9521
"69","AR(1)",40,20,0.07,1,1,1
"70","AR(1)",40,20,0.1,1,1,1
"71","AR(1)",40,30,0.01,0.0619,0.0537,0.0551
"72","AR(1)",40,30,0.03,0.9831,0.8295,0.8604
"73","AR(1)",40,30,0.05,1,1,1
"74","AR(1)",40,30,0.07,1,1,1
"75","AR(1)",40,30,0.1,1,1,1
"76","AR(1)",40,50,0.01,0.2144,0.1167,0.1289
"77","AR(1)",40,50,0.03,1,1,1
"78","AR(1)",40,50,0.05,1,1,1
"79","AR(1)",40,50,0.07,1,1,1
"80","AR(1)",40,50,0.1,1,1,1
"81","AR(1)",50,10,0.01,0.0468,0.047,0.048
"82","AR(1)",50,10,0.03,0.0593,0.0549,0.0569
"83","AR(1)",50,10,0.05,0.1471,0.1102,0.1205
"84","AR(1)",50,10,0.07,0.4328,0.3155,0.347
"85","AR(1)",50,10,0.1,0.9765,0.9312,0.9481
"86","AR(1)",50,20,0.01,0.053,0.053,0.0563
"87","AR(1)",50,20,0.03,0.3396,0.2173,0.2336
"88","AR(1)",50,20,0.05,0.9989,0.9771,0.9841
"89","AR(1)",50,20,0.07,1,1,1
"90","AR(1)",50,20,0.1,1,1,1
"91","AR(1)",50,30,0.01,0.0699,0.0581,0.0603
"92","AR(1)",50,30,0.03,0.9964,0.9231,0.9413
"93","AR(1)",50,30,0.05,1,1,1
"94","AR(1)",50,30,0.07,1,1,1
"95","AR(1)",50,30,0.1,1,1,1
"96","AR(1)",50,50,0.01,0.2753,0.1446,0.1556
"97","AR(1)",50,50,0.03,1,1,1
"98","AR(1)",50,50,0.05,1,1,1
"99","AR(1)",50,50,0.07,1,1,1
"100","AR(1)",50,50,0.1,1,1,1
"101","AR(2)",10,10,0.01,0.0533,0.0445,0.0543
"102","AR(2)",10,10,0.03,0.0554,0.0472,0.0532
"103","AR(2)",10,10,0.05,0.0855,0.0595,0.0778
"104","AR(2)",10,10,0.07,0.1877,0.1211,0.1649
"105","AR(2)",10,10,0.1,0.6165,0.4331,0.5788
"106","AR(2)",10,20,0.01,0.055,0.0387,0.047
"107","AR(2)",10,20,0.03,0.148,0.083,0.1143
"108","AR(2)",10,20,0.05,0.6743,0.4491,0.604
"109","AR(2)",10,20,0.07,0.999,0.9717,0.9964
"110","AR(2)",10,20,0.1,1,1,1
"111","AR(2)",10,30,0.01,0.0567,0.0347,0.0409
"112","AR(2)",10,30,0.03,0.5195,0.2813,0.4178
"113","AR(2)",10,30,0.05,1,0.9932,1
"114","AR(2)",10,30,0.07,1,1,1
"115","AR(2)",10,30,0.1,1,1,1
"116","AR(2)",10,50,0.01,0.1005,0.0505,0.0623
"117","AR(2)",10,50,0.03,0.9999,0.9897,0.9994
"118","AR(2)",10,50,0.05,1,1,1
"119","AR(2)",10,50,0.07,1,1,1
"120","AR(2)",10,50,0.1,1,1,1
"121","AR(2)",20,10,0.01,0.0568,0.0424,0.0486
"122","AR(2)",20,10,0.03,0.0597,0.047,0.0516
"123","AR(2)",20,10,0.05,0.1306,0.0862,0.1073
"124","AR(2)",20,10,0.07,0.3775,0.2583,0.3268
"125","AR(2)",20,10,0.1,0.9216,0.8438,0.909
"126","AR(2)",20,20,0.01,0.0569,0.0391,0.0444
"127","AR(2)",20,20,0.03,0.2485,0.1413,0.1881
"128","AR(2)",20,20,0.05,0.9548,0.8861,0.9444
"129","AR(2)",20,20,0.07,1,1,1
"130","AR(2)",20,20,0.1,1,1,1
"131","AR(2)",20,30,0.01,0.0609,0.0358,0.041
"132","AR(2)",20,30,0.03,0.8577,0.695,0.8062
"133","AR(2)",20,30,0.05,1,1,1
"134","AR(2)",20,30,0.07,1,1,1
"135","AR(2)",20,30,0.1,1,1,1
"136","AR(2)",20,50,0.01,0.1555,0.0681,0.0905
"137","AR(2)",20,50,0.03,1,1,1
