"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"1","AR(1)",10,10,0.01,0.0534,0.052
"2","AR(1)",10,10,0.03,0.0513,0.0524
"3","AR(1)",10,10,0.05,0.0649,0.0562
"4","AR(1)",10,10,0.07,0.1124,0.0798
"5","AR(1)",10,10,0.1,0.3309,0.1994
"6","AR(1)",10,20,0.01,0.0516,0.0519
"7","AR(1)",10,20,0.03,0.0873,0.0672
"8","AR(1)",10,20,0.05,0.4656,0.2251
"9","AR(1)",10,20,0.07,0.9812,0.768
"10","AR(1)",10,20,0.1,1,1
"11","AR(1)",10,30,0.01,0.054,0.0504
"12","AR(1)",10,30,0.03,0.3948,0.163
"13","AR(1)",10,30,0.05,1,0.9127
"14","AR(1)",10,30,0.07,1,1
"15","AR(1)",10,30,0.1,1,1
"16","AR(1)",10,50,0.01,0.0844,0.0606
"17","AR(1)",10,50,0.03,1,0.9446
"18","AR(1)",10,50,0.05,1,1
"19","AR(1)",10,50,0.07,1,1
"20","AR(1)",10,50,0.1,1,1
"21","AR(1)",20,10,0.01,0.052,0.0481
"22","AR(1)",20,10,0.03,0.052,0.046
"23","AR(1)",20,10,0.05,0.0881,0.0688
"24","AR(1)",20,10,0.07,0.1876,0.1329
"25","AR(1)",20,10,0.1,0.6513,0.4703
"26","AR(1)",20,20,0.01,0.0536,0.0504
"27","AR(1)",20,20,0.03,0.1524,0.0983
"28","AR(1)",20,20,0.05,0.8335,0.5606
"29","AR(1)",20,20,0.07,1,0.9976
"30","AR(1)",20,20,0.1,1,1
"31","AR(1)",20,30,0.01,0.0594,0.0537
"32","AR(1)",20,30,0.03,0.7493,0.4059
"33","AR(1)",20,30,0.05,1,1
"34","AR(1)",20,30,0.07,1,1
"35","AR(1)",20,30,0.1,1,1
"36","AR(1)",20,50,0.01,0.1204,0.0768
"37","AR(1)",20,50,0.03,1,1
"38","AR(1)",20,50,0.05,1,1
"39","AR(1)",20,50,0.07,1,1
"40","AR(1)",20,50,0.1,1,1
"41","AR(1)",30,10,0.01,0.0513,0.0504
