"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0566,0.0499,0.1311
"2","AR(1)",10,10,0.03,0.0538,0.0516,0.1333
"3","AR(1)",10,10,0.05,0.0628,0.0597,0.1447
"4","AR(1)",10,10,0.07,0.1169,0.0858,0.1971
"5","AR(1)",10,10,0.1,0.3437,0.2036,0.3879
"6","AR(1)",10,20,0.01,0.0565,0.0474,0.1341
"7","AR(1)",10,20,0.03,0.0896,0.0741,0.1744
"8","AR(1)",10,20,0.05,0.4691,0.2244,0.4362
"9","AR(1)",10,20,0.07,0.9792,0.7583,0.9175
"10","AR(1)",10,20,0.1,1,1,1
"11","AR(1)",10,30,0.01,0.0578,0.0495,0.1523
"12","AR(1)",10,30,0.03,0.3943,0.1703,0.3692
"13","AR(1)",10,30,0.05,0.9998,0.917,0.9885
"14","AR(1)",10,30,0.07,1,1,1
"15","AR(1)",10,30,0.1,1,1,1
"16","AR(1)",10,50,0.01,0.0775,0.0644,0.1905
"17","AR(1)",10,50,0.03,1,0.95,0.9966
"18","AR(1)",10,50,0.05,1,1,1
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.0481,0.0455,0.0987
"22","AR(1)",20,10,0.03,0.0528,0.0476,0.0988
"23","AR(1)",20,10,0.05,0.0826,0.0653,0.1253
"24","AR(1)",20,10,0.07,0.1914,0.1301,0.2213
"25","AR(1)",20,10,0.1,0.644,0.465,0.6065
"26","AR(1)",20,20,0.01,0.0509,0.052,0.1007
"27","AR(1)",20,20,0.03,0.1579,0.1033,0.1772
"28","AR(1)",20,20,0.05,0.8346,0.562,0.7098
"29","AR(1)",20,20,0.07,1,0.9975,0.9993
"30","AR(1)",20,20,0.1,1,1,1
"31","AR(1)",20,30,0.01,0.0562,0.0511,0.1057
"32","AR(1)",20,30,0.03,0.7547,0.4181,0.5763
"33","AR(1)",20,30,0.05,1,1,1
"34","AR(1)",20,30,0.07,1,1,1
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.1214,0.0841,0.158
"37","AR(1)",20,50,0.03,1,1,1
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.0536,0.0496,0.086
"42","AR(1)",30,10,0.03,0.0544,0.0494,0.0907
"43","AR(1)",30,10,0.05,0.1001,0.0833,0.1384
"44","AR(1)",30,10,0.07,0.2689,0.1869,0.2795
"45","AR(1)",30,10,0.1,0.8416,0.6945,0.7906
"46","AR(1)",30,20,0.01,0.0495,0.0509,0.0878
"47","AR(1)",30,20,0.03,0.2117,0.1347,0.2046
"48","AR(1)",30,20,0.05,0.9617,0.8123,0.8787
"49","AR(1)",30,20,0.07,1,1,1
"50","AR(1)",30,20,0.1,1,1,1
"51","AR(1)",30,30,0.01,0.0655,0.0583,0.0962
"52","AR(1)",30,30,0.03,0.9227,0.6512,0.7587
"53","AR(1)",30,30,0.05,1,1,1
"54","AR(1)",30,30,0.07,1,1,1
"55","AR(1)",30,30,0.1,1,1,1
"56","AR(1)",30,50,0.01,0.1723,0.1004,0.1618
"57","AR(1)",30,50,0.03,1,1,1
"58","AR(1)",30,50,0.05,1,1,1
"59","AR(1)",30,50,0.07,1,1,1
"60","AR(1)",30,50,0.1,1,1,1
"61","AR(1)",40,10,0.01,0.0534,0.0483,0.0818
"62","AR(1)",40,10,0.03,0.0625,0.0554,0.095
"63","AR(1)",40,10,0.05,0.1232,0.0935,0.1484
"64","AR(1)",40,10,0.07,0.3615,0.2548,0.3444
"65","AR(1)",40,10,0.1,0.9346,0.8508,0.9018
"66","AR(1)",40,20,0.01,0.0527,0.0489,0.0796
"67","AR(1)",40,20,0.03,0.2912,0.177,0.2459
"68","AR(1)",40,20,0.05,0.9914,0.9313,0.9575
"69","AR(1)",40,20,0.07,1,1,1
"70","AR(1)",40,20,0.1,1,1,1
"71","AR(1)",40,30,0.01,0.065,0.0578,0.0888
"72","AR(1)",40,30,0.03,0.9795,0.8216,0.8812
"73","AR(1)",40,30,0.05,1,1,1
"74","AR(1)",40,30,0.07,1,1,1
"75","AR(1)",40,30,0.1,1,1,1
"76","AR(1)",40,50,0.01,0.2222,0.1136,0.1681
"77","AR(1)",40,50,0.03,1,1,1
"78","AR(1)",40,50,0.05,1,1,1
"79","AR(1)",40,50,0.07,1,1,1
"80","AR(1)",40,50,0.1,1,1,1
"81","AR(1)",50,10,0.01,0.0501,0.0498,0.0822
"82","AR(1)",50,10,0.03,0.0607,0.0555,0.0925
"83","AR(1)",50,10,0.05,0.1385,0.1033,0.157
"84","AR(1)",50,10,0.07,0.4329,0.3086,0.3961
"85","AR(1)",50,10,0.1,0.977,0.9313,0.9592
"86","AR(1)",50,20,0.01,0.0528,0.0478,0.0759
"87","AR(1)",50,20,0.03,0.3335,0.2083,0.2761
"88","AR(1)",50,20,0.05,0.999,0.978,0.9871
"89","AR(1)",50,20,0.07,1,1,1
"90","AR(1)",50,20,0.1,1,1,1
"91","AR(1)",50,30,0.01,0.0672,0.0602,0.0878
"92","AR(1)",50,30,0.03,0.9955,0.9203,0.947
"93","AR(1)",50,30,0.05,1,1,1
"94","AR(1)",50,30,0.07,1,1,1
"95","AR(1)",50,30,0.1,1,1,1
"96","AR(1)",50,50,0.01,0.2775,0.1437,0.1957
"97","AR(1)",50,50,0.03,1,1,1
"98","AR(1)",50,50,0.05,1,1,1
"99","AR(1)",50,50,0.07,1,1,1
"100","AR(1)",50,50,0.1,1,1,1
"101","AR(2)",10,10,0.01,0.0518,0.0399,0.224
"102","AR(2)",10,10,0.03,0.0624,0.0509,0.2306
"103","AR(2)",10,10,0.05,0.0856,0.0601,0.2645
"104","AR(2)",10,10,0.07,0.1962,0.1229,0.3965
"105","AR(2)",10,10,0.1,0.6102,0.4188,0.7651
"106","AR(2)",10,20,0.01,0.0532,0.0403,0.2349
"107","AR(2)",10,20,0.03,0.1381,0.0782,0.3372
"108","AR(2)",10,20,0.05,0.6869,0.4465,0.8129
"109","AR(2)",10,20,0.07,0.9977,0.9715,0.9989
"110","AR(2)",10,20,0.1,1,1,1
"111","AR(2)",10,30,0.01,0.0644,0.0405,0.248
"112","AR(2)",10,30,0.03,0.526,0.2894,0.6901
"113","AR(2)",10,30,0.05,1,0.994,1
"114","AR(2)",10,30,0.07,1,1,1
"115","AR(2)",10,30,0.1,1,1,1
"116","AR(2)",10,50,0.01,0.0966,0.0444,0.2845
"117","AR(2)",10,50,0.03,0.9998,0.9905,1
"118","AR(2)",10,50,0.05,1,1,1
"119","AR(2)",10,50,0.07,1,1,1
"120","AR(2)",10,50,0.1,1,1,1
"121","AR(2)",20,10,0.01,0.0535,0.0436,0.2022
"122","AR(2)",20,10,0.03,0.0595,0.0423,0.2048
"123","AR(2)",20,10,0.05,0.1309,0.0879,0.2999
"124","AR(2)",20,10,0.07,0.3702,0.2587,0.5575
"125","AR(2)",20,10,0.1,0.9199,0.8454,0.9657
"126","AR(2)",20,20,0.01,0.0528,0.0369,0.2054
"127","AR(2)",20,20,0.03,0.2583,0.1478,0.4478
"128","AR(2)",20,20,0.05,0.9566,0.8851,0.9833
"129","AR(2)",20,20,0.07,1,1,1
"130","AR(2)",20,20,0.1,1,1,1
"131","AR(2)",20,30,0.01,0.0646,0.0392,0.2148
"132","AR(2)",20,30,0.03,0.8661,0.6977,0.9282
"133","AR(2)",20,30,0.05,1,1,1
"134","AR(2)",20,30,0.07,1,1,1
"135","AR(2)",20,30,0.1,1,1,1
"136","AR(2)",20,50,0.01,0.1536,0.0665,0.3093
"137","AR(2)",20,50,0.03,1,1,1
"138","AR(2)",20,50,0.05,1,1,1
"139","AR(2)",20,50,0.07,1,1,1
"140","AR(2)",20,50,0.1,1,1,1
"141","AR(2)",30,10,0.01,0.0536,0.0452,0.1899
"142","AR(2)",30,10,0.03,0.0686,0.0503,0.2143
"143","AR(2)",30,10,0.05,0.1727,0.1158,0.3447
"144","AR(2)",30,10,0.07,0.5169,0.3976,0.6844
"145","AR(2)",30,10,0.1,0.9903,0.977,0.9961
"146","AR(2)",30,20,0.01,0.0604,0.0411,0.195
"147","AR(2)",30,20,0.03,0.3523,0.2242,0.5306
"148","AR(2)",30,20,0.05,0.9952,0.9866,0.9989
"149","AR(2)",30,20,0.07,1,1,1
"150","AR(2)",30,20,0.1,1,1,1
"151","AR(2)",30,30,0.01,0.0693,0.0393,0.2072
"152","AR(2)",30,30,0.03,0.9663,0.9126,0.9882
"153","AR(2)",30,30,0.05,1,1,1
"154","AR(2)",30,30,0.07,1,1,1
"155","AR(2)",30,30,0.1,1,1,1
"156","AR(2)",30,50,0.01,0.2136,0.0959,0.3627
"157","AR(2)",30,50,0.03,1,1,1
"158","AR(2)",30,50,0.05,1,1,1
"159","AR(2)",30,50,0.07,1,1,1
"160","AR(2)",30,50,0.1,1,1,1
"161","AR(2)",40,10,0.01,0.052,0.0392,0.1854
"162","AR(2)",40,10,0.03,0.073,0.0529,0.2119
"163","AR(2)",40,10,0.05,0.2164,0.1486,0.387
"164","AR(2)",40,10,0.07,0.6632,0.5382,0.8004
"165","AR(2)",40,10,0.1,0.9988,0.9972,0.9994
"166","AR(2)",40,20,0.01,0.0544,0.0349,0.1892
"167","AR(2)",40,20,0.03,0.4694,0.3174,0.6422
"168","AR(2)",40,20,0.05,0.9999,0.9987,0.9999
"169","AR(2)",40,20,0.07,1,1,1
"170","AR(2)",40,20,0.1,1,1,1
"171","AR(2)",40,30,0.01,0.0815,0.0391,0.2103
"172","AR(2)",40,30,0.03,0.9929,0.9804,0.9976
"173","AR(2)",40,30,0.05,1,1,1
"174","AR(2)",40,30,0.07,1,1,1
"175","AR(2)",40,30,0.1,1,1,1
"176","AR(2)",40,50,0.01,0.2735,0.1271,0.4109
"177","AR(2)",40,50,0.03,1,1,1
"178","AR(2)",40,50,0.05,1,1,1
"179","AR(2)",40,50,0.07,1,1,1
"180","AR(2)",40,50,0.1,1,1,1
"181","AR(2)",50,10,0.01,0.051,0.0395,0.1825
"182","AR(2)",50,10,0.03,0.0775,0.0559,0.2212
"183","AR(2)",50,10,0.05,0.2617,0.1809,0.4341
"184","AR(2)",50,10,0.07,0.7678,0.6663,0.8795
"185","AR(2)",50,10,0.1,0.9999,0.9996,1
"186","AR(2)",50,20,0.01,0.0582,0.0363,0.1883
"187","AR(2)",50,20,0.03,0.5593,0.4045,0.714
"188","AR(2)",50,20,0.05,0.9999,0.9999,1
"189","AR(2)",50,20,0.07,1,1,1
"190","AR(2)",50,20,0.1,1,1,1
"191","AR(2)",50,30,0.01,0.0845,0.042,0.2113
"192","AR(2)",50,30,0.03,0.9985,0.9961,0.9998
"193","AR(2)",50,30,0.05,1,1,1
"194","AR(2)",50,30,0.07,1,1,1
"195","AR(2)",50,30,0.1,1,1,1
"196","AR(2)",50,50,0.01,0.3221,0.1619,0.4613
"197","AR(2)",50,50,0.03,1,1,1
"198","AR(2)",50,50,0.05,1,1,1
"199","AR(2)",50,50,0.07,1,1,1
"200","AR(2)",50,50,0.1,1,1,1
"201","Toeplitz",10,10,0.01,0.0526,0.0426,0.1718
"202","Toeplitz",10,10,0.03,0.0564,0.0425,0.1753
"203","Toeplitz",10,10,0.05,0.07,0.052,0.2023
"204","Toeplitz",10,10,0.07,0.1332,0.0869,0.2738
"205","Toeplitz",10,10,0.1,0.3952,0.258,0.539
"206","Toeplitz",10,20,0.01,0.0524,0.0378,0.1758
"207","Toeplitz",10,20,0.03,0.1031,0.0625,0.2397
"208","Toeplitz",10,20,0.05,0.4384,0.2513,0.5579
"209","Toeplitz",10,20,0.07,0.9446,0.8026,0.9603
"210","Toeplitz",10,20,0.1,1,1,1
"211","Toeplitz",10,30,0.01,0.058,0.0365,0.1748
"212","Toeplitz",10,30,0.03,0.3225,0.165,0.4415
