"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"126","AR(2)",3,9,0.7458,0.8305
"127","AR(2)",3,10,0.813,0.9099
"128","AR(2)",3,11,0.8709,0.9512
"129","AR(2)",3,21,0.9993,1
"130","AR(2)",3,31,1,1
"131","AR(2)",3,41,1,1
"132","AR(2)",3,51,1,1
"133","AR(2)",3,61,1,1
"134","AR(2)",3,71,1,1
"135","AR(2)",3,81,1,1
"136","AR(2)",3,91,1,1
"137","Toeplitz",1,5,0.0585,0.0572
"138","Toeplitz",1,6,0.0644,0.058
"139","Toeplitz",1,7,0.071,0.0655
"140","Toeplitz",1,8,0.074,0.0579
"141","Toeplitz",1,9,0.0671,0.0621
"142","Toeplitz",1,10,0.0773,0.0671
"143","Toeplitz",1,11,0.0734,0.069
"144","Toeplitz",1,21,0.0924,0.1651
"145","Toeplitz",1,31,0.1148,0.2942
"146","Toeplitz",1,41,0.143,0.4531
"147","Toeplitz",1,51,0.1807,0.5877
"148","Toeplitz",1,61,0.2286,0.7242
"149","Toeplitz",1,71,0.2663,0.8057
"150","Toeplitz",1,81,0.3252,0.8744
"151","Toeplitz",1,91,0.3931,0.9182
"152","Toeplitz",2,5,0.0965,0.0816
"153","Toeplitz",2,6,0.1142,0.1056
"154","Toeplitz",2,7,0.1321,0.139
"155","Toeplitz",2,8,0.1374,0.1588
"156","Toeplitz",2,9,0.1551,0.2103
"157","Toeplitz",2,10,0.1726,0.2577
"158","Toeplitz",2,11,0.1932,0.3153
"159","Toeplitz",2,21,0.3906,0.8062
"160","Toeplitz",2,31,0.6636,0.9701
"161","Toeplitz",2,41,0.8892,0.9975
"162","Toeplitz",2,51,0.9835,0.9997
"163","Toeplitz",2,61,0.9994,1
"164","Toeplitz",2,71,0.9999,1
"165","Toeplitz",2,81,1,1
"166","Toeplitz",2,91,1,1
"167","Toeplitz",3,5,0.2124,0.1518
"168","Toeplitz",3,6,0.2523,0.2299
"169","Toeplitz",3,7,0.3086,0.3338
"170","Toeplitz",3,8,0.3565,0.4273
"171","Toeplitz",3,9,0.4075,0.5438
"172","Toeplitz",3,10,0.4694,0.6522
"173","Toeplitz",3,11,0.5095,0.7319
"174","Toeplitz",3,21,0.9337,0.9974
"175","Toeplitz",3,31,0.9982,1
"176","Toeplitz",3,41,1,1
"177","Toeplitz",3,51,1,1
"178","Toeplitz",3,61,1,1
"179","Toeplitz",3,71,1,1
"180","Toeplitz",3,81,1,1
"181","Toeplitz",3,91,1,1
