"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"73","AR(1)",40,30,0.05,1,1,1,0,1
"74","AR(1)",40,30,0.07,1,1,1,0,1
"75","AR(1)",40,30,0.1,1,1,1,0,1
"76","AR(1)",40,50,0.01,0.7681,0.3706,0.4052,0.0023,0.8957
"77","AR(1)",40,50,0.03,1,1,1,0,1
"78","AR(1)",40,50,0.05,1,1,1,0,1
"79","AR(1)",40,50,0.07,1,1,1,0,1
"80","AR(1)",40,50,0.1,1,1,1,0,1
"81","AR(1)",50,10,0.01,0.0658,0.0559,0.0596,0.1155,0.2397
"82","AR(1)",50,10,0.03,0.2082,0.1435,0.1566,0.057,0.4456
"83","AR(1)",50,10,0.05,0.5142,0.3584,0.391,0.0139,0.7377
"84","AR(1)",50,10,0.07,0.8141,0.6488,0.6843,0.0018,0.9261
"85","AR(1)",50,10,0.1,0.9878,0.9454,0.9566,0,0.9971
"86","AR(1)",50,20,0.01,0.1321,0.0905,0.0979,0.0804,0.3368
"87","AR(1)",50,20,0.03,0.8182,0.5564,0.5866,0.0011,0.9245
"88","AR(1)",50,20,0.05,0.9986,0.9741,0.9815,0,0.9997
"89","AR(1)",50,20,0.07,1,1,1,0,1
"90","AR(1)",50,20,0.1,1,1,1,0,1
"91","AR(1)",50,30,0.01,0.3009,0.1601,0.1732,0.0369,0.547
"92","AR(1)",50,30,0.03,0.9992,0.9548,0.9636,0,0.9998
"93","AR(1)",50,30,0.05,1,1,1,0,1
"94","AR(1)",50,30,0.07,1,1,1,0,1
"95","AR(1)",50,30,0.1,1,1,1,0,1
"96","AR(1)",50,50,0.01,0.8756,0.4717,0.5041,8e-04,0.9487
"97","AR(1)",50,50,0.03,1,1,1,0,1
"98","AR(1)",50,50,0.05,1,1,1,0,1
"99","AR(1)",50,50,0.07,1,1,1,0,1
"100","AR(1)",50,50,0.1,1,1,1,0,1
"101","AR(2)",10,10,0.01,0.0567,0.0446,0.0559,0.1826,0.1971
"102","AR(2)",10,10,0.03,0.1134,0.0716,0.0961,0.1454,0.2867
"103","AR(2)",10,10,0.05,0.2202,0.1297,0.1801,0.09,0.4361
