"","covariance_structures","variances","sample_sizes","power_global","power_max"
"386","AR(2)",0,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"387","AR(2)",0,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"388","AR(2)",0,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"389","AR(2)",0,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"390","AR(2)",0,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"391","AR(2)",0,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"392","AR(2)",0,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"393","AR(2)",1,3,"0","0.916"
"394","AR(2)",1,4,"0.761","0.396"
"395","AR(2)",1,5,"0.933","0.744"
"396","AR(2)",1,6,"0.98","0.912"
"397","AR(2)",1,7,"0.999","0.984"
"398","AR(2)",1,8,"0.999","0.999"
"399","AR(2)",1,9,"1","1"
"400","AR(2)",1,10,"1","1"
"401","AR(2)",1,11,"1","1"
"402","AR(2)",1,21,"1","1"
"403","AR(2)",1,31,"1","1"
"404","AR(2)",1,41,"1","1"
"405","AR(2)",1,51,"1","1"
"406","AR(2)",1,61,"1","1"
"407","AR(2)",1,71,"1","1"
"408","AR(2)",1,81,"1","1"
"409","AR(2)",1,91,"1","1"
"410","AR(2)",2,3,"0","0.797"
"411","AR(2)",2,4,"0.435","0.223"
"412","AR(2)",2,5,"0.645","0.449"
"413","AR(2)",2,6,"0.807","0.695"
"414","AR(2)",2,7,"0.885","0.838"
"415","AR(2)",2,8,"0.933","0.936"
"416","AR(2)",2,9,"0.973","0.992"
"417","AR(2)",2,10,"0.982","0.995"
"418","AR(2)",2,11,"0.998","0.999"
"419","AR(2)",2,21,"1","1"
"420","AR(2)",2,31,"1","1"
"421","AR(2)",2,41,"1","1"
"422","AR(2)",2,51,"1","1"
"423","AR(2)",2,61,"1","1"
"424","AR(2)",2,71,"1","1"
"425","AR(2)",2,81,"1","1"
"426","AR(2)",2,91,"1","1"
"427","AR(2)",3,3,"0","0.763"
"428","AR(2)",3,4,"0.268","0.148"
"429","AR(2)",3,5,"0.466","0.318"
"430","AR(2)",3,6,"0.588","0.471"
"431","AR(2)",3,7,"0.664","0.679"
"432","AR(2)",3,8,"0.759","0.799"
"433","AR(2)",3,9,"0.821","0.904"
"434","AR(2)",3,10,"0.894","0.96"
"435","AR(2)",3,11,"0.931","0.985"
"436","AR(2)",3,21,"1","1"
"437","AR(2)",3,31,"1","1"
"438","AR(2)",3,41,"1","1"
"439","AR(2)",3,51,"1","1"
"440","AR(2)",3,61,"1","1"
"441","AR(2)",3,71,"1","1"
"442","AR(2)",3,81,"1","1"
"443","AR(2)",3,91,"1","1"
"444","AR(2)",4,3,"0","0.69"
"445","AR(2)",4,4,"0.196","0.156"
"446","AR(2)",4,5,"0.307","0.203"
"447","AR(2)",4,6,"0.439","0.345"
"448","AR(2)",4,7,"0.492","0.515"
"449","AR(2)",4,8,"0.599","0.656"
"450","AR(2)",4,9,"0.69","0.787"
"451","AR(2)",4,10,"0.747","0.86"
"452","AR(2)",4,11,"0.794","0.942"
"453","AR(2)",4,21,"1","1"
"454","AR(2)",4,31,"1","1"
"455","AR(2)",4,41,"1","1"
"456","AR(2)",4,51,"1","1"
"457","AR(2)",4,61,"1","1"
"458","AR(2)",4,71,"1","1"
"459","AR(2)",4,81,"1","1"
"460","AR(2)",4,91,"1","1"
"461","AR(2)",5,3,"0","0.685"
"462","AR(2)",5,4,"0.134","0.103"
"463","AR(2)",5,5,"0.246","0.188"
"464","AR(2)",5,6,"0.311","0.301"
"465","AR(2)",5,7,"0.367","0.398"
"466","AR(2)",5,8,"0.477","0.552"
"467","AR(2)",5,9,"0.53","0.667"
"468","AR(2)",5,10,"0.601","0.734"
"469","AR(2)",5,11,"0.645","0.841"
"470","AR(2)",5,21,"0.991","1"
"471","AR(2)",5,31,"1","1"
"472","AR(2)",5,41,"1","1"
"473","AR(2)",5,51,"1","1"
"474","AR(2)",5,61,"1","1"
"475","AR(2)",5,71,"1","1"
"476","AR(2)",5,81,"1","1"
"477","AR(2)",5,91,"1","1"
"478","AR(2)",6,3,"0.001","0.658"
"479","AR(2)",6,4,"0.144","0.127"
"480","AR(2)",6,5,"0.203","0.159"
"481","AR(2)",6,6,"0.274","0.259"
"482","AR(2)",6,7,"0.323","0.347"
"483","AR(2)",6,8,"0.402","0.449"
"484","AR(2)",6,9,"0.419","0.569"
"485","AR(2)",6,10,"0.445","0.642"
"486","AR(2)",6,11,"0.527","0.759"
"487","AR(2)",6,21,"0.948","0.995"
"488","AR(2)",6,31,"1","1"
"489","AR(2)",6,41,"1","1"
"490","AR(2)",6,51,"1","1"
"491","AR(2)",6,61,"1","1"
"492","AR(2)",6,71,"1","1"
"493","AR(2)",6,81,"1","1"
"494","AR(2)",6,91,"1","1"
"495","AR(2)",7,3,"0","0.64"
"496","AR(2)",7,4,"0.112","0.093"
"497","AR(2)",7,5,"0.169","0.143"
"498","AR(2)",7,6,"0.247","0.224"
"499","AR(2)",7,7,"0.238","0.26"
"500","AR(2)",7,8,"0.308","0.347"
"501","AR(2)",7,9,"0.319","0.438"
"502","AR(2)",7,10,"0.413","0.616"
"503","AR(2)",7,11,"0.442","0.669"
"504","AR(2)",7,21,"0.884","0.995"
"505","AR(2)",7,31,"0.993","1"
"506","AR(2)",7,41,"1","1"
"507","AR(2)",7,51,"1","1"
"508","AR(2)",7,61,"1","1"
"509","AR(2)",7,71,"1","1"
"510","AR(2)",7,81,"1","1"
"511","AR(2)",7,91,"1","1"
"512","AR(2)",8,3,"0","0.622"
"513","AR(2)",8,4,"0.098","0.084"
"514","AR(2)",8,5,"0.142","0.128"
"515","AR(2)",8,6,"0.179","0.154"
"516","AR(2)",8,7,"0.221","0.244"
"517","AR(2)",8,8,"0.238","0.311"
"518","AR(2)",8,9,"0.301","0.415"
"519","AR(2)",8,10,"0.324","0.5"
"520","AR(2)",8,11,"0.371","0.574"
"521","AR(2)",8,21,"0.806","0.981"
"522","AR(2)",8,31,"0.989","0.999"
"523","AR(2)",8,41,"0.998","1"
"524","AR(2)",8,51,"1","1"
"525","AR(2)",8,61,"1","1"
"526","AR(2)",8,71,"1","1"
"527","AR(2)",8,81,"1","1"
"528","AR(2)",8,91,"1","1"
"529","AR(2)",9,3,"0","0.595"
"530","AR(2)",9,4,"0.075","0.088"
"531","AR(2)",9,5,"0.145","0.118"
"532","AR(2)",9,6,"0.178","0.171"
"533","AR(2)",9,7,"0.203","0.199"
"534","AR(2)",9,8,"0.236","0.264"
"535","AR(2)",9,9,"0.256","0.359"
"536","AR(2)",9,10,"0.27","0.431"
"537","AR(2)",9,11,"0.317","0.524"
"538","AR(2)",9,21,"0.729","0.959"
"539","AR(2)",9,31,"0.955","0.998"
"540","AR(2)",9,41,"0.999","1"
"541","AR(2)",9,51,"1","1"
"542","AR(2)",9,61,"1","1"
"543","AR(2)",9,71,"1","1"
"544","AR(2)",9,81,"1","1"
"545","AR(2)",9,91,"1","1"
"546","AR(2)",10,3,"0","0.608"
"547","AR(2)",10,4,"0.081","0.089"
"548","AR(2)",10,5,"0.121","0.129"
"549","AR(2)",10,6,"0.145","0.15"
"550","AR(2)",10,7,"0.185","0.192"
"551","AR(2)",10,8,"0.184","0.246"
"552","AR(2)",10,9,"0.213","0.291"
"553","AR(2)",10,10,"0.269","0.399"
"554","AR(2)",10,11,"0.303","0.473"
"555","AR(2)",10,21,"0.656","0.933"
"556","AR(2)",10,31,"0.92","0.995"
"557","AR(2)",10,41,"0.994","1"
"558","AR(2)",10,51,"1","1"
"559","AR(2)",10,61,"1","1"
"560","AR(2)",10,71,"1","1"
"561","AR(2)",10,81,"1","1"
"562","AR(2)",10,91,"1","1"
"563","Toeplitz",0,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"564","Toeplitz",0,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"565","Toeplitz",0,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"566","Toeplitz",0,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"567","Toeplitz",0,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"568","Toeplitz",0,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"569","Toeplitz",0,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"570","Toeplitz",0,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"571","Toeplitz",0,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"572","Toeplitz",0,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"573","Toeplitz",0,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"574","Toeplitz",0,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
