"","covariance_structures","dimensions","sample_sizes","power_global","power_max"
"677","AR(2)",5,51,1,1
"678","AR(2)",5,61,1,1
"679","AR(2)",5,71,1,1
"680","AR(2)",5,81,1,1
"681","AR(2)",5,91,1,1
"682","AR(2)",6,3,0,0.503
"683","AR(2)",6,4,0.174,0.203
"684","AR(2)",6,5,0.338,0.231
"685","AR(2)",6,6,0.426,0.354
"686","AR(2)",6,7,0.513,0.492
"687","AR(2)",6,8,0.606,0.602
"688","AR(2)",6,9,0.686,0.698
"689","AR(2)",6,10,0.729,0.762
"690","AR(2)",6,11,0.801,0.839
"691","AR(2)",6,21,0.995,0.999
"692","AR(2)",6,31,1,1
"693","AR(2)",6,41,1,1
"694","AR(2)",6,51,1,1
"695","AR(2)",6,61,1,1
"696","AR(2)",6,71,1,1
"697","AR(2)",6,81,1,1
"698","AR(2)",6,91,1,1
"699","AR(2)",7,3,0,0.472
"700","AR(2)",7,4,0.17,0.186
"701","AR(2)",7,5,0.256,0.201
"702","AR(2)",7,6,0.408,0.327
"703","AR(2)",7,7,0.481,0.451
"704","AR(2)",7,8,0.555,0.533
"705","AR(2)",7,9,0.638,0.646
"706","AR(2)",7,10,0.73,0.763
"707","AR(2)",7,11,0.777,0.817
"708","AR(2)",7,21,0.996,0.997
"709","AR(2)",7,31,1,1
"710","AR(2)",7,41,1,1
"711","AR(2)",7,51,1,1
"712","AR(2)",7,61,1,1
"713","AR(2)",7,71,1,1
"714","AR(2)",7,81,1,1
"715","AR(2)",7,91,1,1
"716","AR(2)",8,3,0,0.503
"717","AR(2)",8,4,0.177,0.177
"718","AR(2)",8,5,0.281,0.192
"719","AR(2)",8,6,0.366,0.311
"720","AR(2)",8,7,0.443,0.387
"721","AR(2)",8,8,0.505,0.49
"722","AR(2)",8,9,0.587,0.588
"723","AR(2)",8,10,0.615,0.698
"724","AR(2)",8,11,0.724,0.787
"725","AR(2)",8,21,0.998,0.999
"726","AR(2)",8,31,1,1
"727","AR(2)",8,41,1,1
"728","AR(2)",8,51,1,1
"729","AR(2)",8,61,1,1
"730","AR(2)",8,71,1,1
"731","AR(2)",8,81,1,1
"732","AR(2)",8,91,1,1
"733","AR(2)",9,3,0,0.55
"734","AR(2)",9,4,0.153,0.156
"735","AR(2)",9,5,0.251,0.166
"736","AR(2)",9,6,0.33,0.261
"737","AR(2)",9,7,0.428,0.37
"738","AR(2)",9,8,0.47,0.493
"739","AR(2)",9,9,0.552,0.594
"740","AR(2)",9,10,0.597,0.68
"741","AR(2)",9,11,0.684,0.752
"742","AR(2)",9,21,0.98,0.994
"743","AR(2)",9,31,1,1
"744","AR(2)",9,41,1,1
"745","AR(2)",9,51,1,1
"746","AR(2)",9,61,1,1
"747","AR(2)",9,71,1,1
"748","AR(2)",9,81,1,1
"749","AR(2)",9,91,1,1
"750","AR(2)",10,3,0,0.526
"751","AR(2)",10,4,0.159,0.145
"752","AR(2)",10,5,0.251,0.166
"753","AR(2)",10,6,0.322,0.268
"754","AR(2)",10,7,0.388,0.342
"755","AR(2)",10,8,0.44,0.419
"756","AR(2)",10,9,0.48,0.53
"757","AR(2)",10,10,0.576,0.66
"758","AR(2)",10,11,0.623,0.731
"759","AR(2)",10,21,0.977,0.993
"760","AR(2)",10,31,1,1
"761","AR(2)",10,41,1,1
"762","AR(2)",10,51,1,1
"763","AR(2)",10,61,1,1
"764","AR(2)",10,71,1,1
"765","AR(2)",10,81,1,1
"766","AR(2)",10,91,1,1
"767","AR(2)",11,3,0,0.561
"768","AR(2)",11,4,0.135,0.126
"769","AR(2)",11,5,0.238,0.172
"770","AR(2)",11,6,0.286,0.241
"771","AR(2)",11,7,0.364,0.332
"772","AR(2)",11,8,0.414,0.425
"773","AR(2)",11,9,0.448,0.498
"774","AR(2)",11,10,0.505,0.594
"775","AR(2)",11,11,0.578,0.701
"776","AR(2)",11,21,0.967,0.99
"777","AR(2)",11,31,0.999,1
"778","AR(2)",11,41,1,1
"779","AR(2)",11,51,1,1
"780","AR(2)",11,61,1,1
"781","AR(2)",11,71,1,1
"782","AR(2)",11,81,1,1
"783","AR(2)",11,91,1,1
"784","AR(2)",21,3,0,0.653
"785","AR(2)",21,4,0.077,0.081
"786","AR(2)",21,5,0.137,0.116
"787","AR(2)",21,6,0.156,0.156
"788","AR(2)",21,7,0.217,0.226
"789","AR(2)",21,8,0.234,0.307
"790","AR(2)",21,9,0.259,0.377
"791","AR(2)",21,10,0.29,0.487
"792","AR(2)",21,11,0.287,0.53
"793","AR(2)",21,21,0.697,0.978
"794","AR(2)",21,31,0.955,0.999
"795","AR(2)",21,41,0.997,1
"796","AR(2)",21,51,1,1
"797","AR(2)",21,61,1,1
"798","AR(2)",21,71,1,1
"799","AR(2)",21,81,1,1
"800","AR(2)",21,91,1,1
"801","AR(2)",31,3,0,0.711
"802","AR(2)",31,4,0.075,0.071
"803","AR(2)",31,5,0.111,0.108
"804","AR(2)",31,6,0.14,0.126
"805","AR(2)",31,7,0.138,0.173
"806","AR(2)",31,8,0.142,0.254
"807","AR(2)",31,9,0.162,0.308
"808","AR(2)",31,10,0.178,0.39
"809","AR(2)",31,11,0.188,0.487
"810","AR(2)",31,21,0.459,0.966
"811","AR(2)",31,31,0.765,0.999
"812","AR(2)",31,41,0.952,1
"813","AR(2)",31,51,0.997,1
"814","AR(2)",31,61,1,1
"815","AR(2)",31,71,1,1
"816","AR(2)",31,81,1,1
"817","AR(2)",31,91,1,1
"818","AR(2)",41,3,0,0.744
"819","AR(2)",41,4,0.067,0.055
"820","AR(2)",41,5,0.09,0.101
"821","AR(2)",41,6,0.087,0.106
"822","AR(2)",41,7,0.119,0.172
"823","AR(2)",41,8,0.122,0.194
"824","AR(2)",41,9,0.122,0.251
"825","AR(2)",41,10,0.154,0.35
"826","AR(2)",41,11,0.15,0.424
"827","AR(2)",41,21,0.288,0.936
"828","AR(2)",41,31,0.528,1
"829","AR(2)",41,41,0.804,1
"830","AR(2)",41,51,0.948,1
"831","AR(2)",41,61,0.992,1
"832","AR(2)",41,71,0.999,1
"833","AR(2)",41,81,1,1
"834","AR(2)",41,91,1,1
"835","AR(2)",51,3,0,0.769
"836","AR(2)",51,4,0.059,0.053
"837","AR(2)",51,5,0.086,0.101
"838","AR(2)",51,6,0.101,0.099
"839","AR(2)",51,7,0.1,0.127
"840","AR(2)",51,8,0.101,0.167
"841","AR(2)",51,9,0.103,0.232
"842","AR(2)",51,10,0.129,0.321
"843","AR(2)",51,11,0.114,0.363
"844","AR(2)",51,21,0.232,0.921
"845","AR(2)",51,31,0.401,0.996
"846","AR(2)",51,41,0.573,1
"847","AR(2)",51,51,0.836,1
"848","AR(2)",51,61,0.951,1
"849","AR(2)",51,71,0.996,1
"850","AR(2)",51,81,1,1
"851","AR(2)",51,91,1,1
"852","AR(2)",61,3,0,0.764
"853","AR(2)",61,4,0.056,0.055
"854","AR(2)",61,5,0.06,0.092
"855","AR(2)",61,6,0.099,0.113
"856","AR(2)",61,7,0.09,0.114
"857","AR(2)",61,8,0.1,0.166
"858","AR(2)",61,9,0.096,0.219
"859","AR(2)",61,10,0.108,0.259
"860","AR(2)",61,11,0.097,0.335
"861","AR(2)",61,21,0.176,0.91
"862","AR(2)",61,31,0.305,0.999
"863","AR(2)",61,41,0.434,1
"864","AR(2)",61,51,0.623,1
"865","AR(2)",61,61,0.844,1
"866","AR(2)",61,71,0.962,1
"867","AR(2)",61,81,0.994,1
"868","AR(2)",61,91,1,1
"869","AR(2)",71,3,0,0.797
"870","AR(2)",71,4,0.048,0.055
"871","AR(2)",71,5,0.069,0.089
"872","AR(2)",71,6,0.08,0.085
"873","AR(2)",71,7,0.077,0.098
"874","AR(2)",71,8,0.083,0.127
"875","AR(2)",71,9,0.098,0.213
"876","AR(2)",71,10,0.093,0.255
"877","AR(2)",71,11,0.093,0.334
"878","AR(2)",71,21,0.163,0.909
"879","AR(2)",71,31,0.23,0.998
"880","AR(2)",71,41,0.364,1
"881","AR(2)",71,51,0.48,1
"882","AR(2)",71,61,0.703,1
"883","AR(2)",71,71,0.846,1
"884","AR(2)",71,81,0.954,1
"885","AR(2)",71,91,0.992,1
"886","AR(2)",81,3,0,0.816
"887","AR(2)",81,4,0.057,0.049
"888","AR(2)",81,5,0.075,0.104
"889","AR(2)",81,6,0.067,0.097
"890","AR(2)",81,7,0.072,0.094
"891","AR(2)",81,8,0.076,0.124
"892","AR(2)",81,9,0.099,0.189
"893","AR(2)",81,10,0.074,0.237
"894","AR(2)",81,11,0.088,0.306
"895","AR(2)",81,21,0.128,0.889
"896","AR(2)",81,31,0.172,0.996
"897","AR(2)",81,41,0.243,1
"898","AR(2)",81,51,0.379,1
"899","AR(2)",81,61,0.556,1
"900","AR(2)",81,71,0.737,1
"901","AR(2)",81,81,0.876,1
"902","AR(2)",81,91,0.949,1
"903","AR(2)",91,3,0,0.828
"904","AR(2)",91,4,0.049,0.039
"905","AR(2)",91,5,0.066,0.117
"906","AR(2)",91,6,0.087,0.079
"907","AR(2)",91,7,0.077,0.105
"908","AR(2)",91,8,0.064,0.126
"909","AR(2)",91,9,0.074,0.175
"910","AR(2)",91,10,0.069,0.202
"911","AR(2)",91,11,0.074,0.286
"912","AR(2)",91,21,0.1,0.885
"913","AR(2)",91,31,0.17,0.993
"914","AR(2)",91,41,0.229,1
"915","AR(2)",91,51,0.337,1
"916","AR(2)",91,61,0.435,1
"917","AR(2)",91,71,0.56,1
"918","AR(2)",91,81,0.727,1
"919","AR(2)",91,91,0.869,1
"920","Toeplitz",2,3,0,0.243
"921","Toeplitz",2,4,0.094,0.212
"922","Toeplitz",2,5,0.17,0.162
"923","Toeplitz",2,6,0.233,0.135
"924","Toeplitz",2,7,0.31,0.195
"925","Toeplitz",2,8,0.384,0.272
"926","Toeplitz",2,9,0.44,0.31
"927","Toeplitz",2,10,0.503,0.386
"928","Toeplitz",2,11,0.553,0.427
"929","Toeplitz",2,21,0.869,0.797
"930","Toeplitz",2,31,0.966,0.933
"931","Toeplitz",2,41,0.996,0.988
"932","Toeplitz",2,51,0.997,0.995
"933","Toeplitz",2,61,1,1
"934","Toeplitz",2,71,1,1
"935","Toeplitz",2,81,1,1
"936","Toeplitz",2,91,1,1
"937","Toeplitz",3,3,0,0.405
"938","Toeplitz",3,4,0.122,0.267
"939","Toeplitz",3,5,0.263,0.28
"940","Toeplitz",3,6,0.359,0.413
"941","Toeplitz",3,7,0.432,0.537
"942","Toeplitz",3,8,0.511,0.639
"943","Toeplitz",3,9,0.623,0.755
"944","Toeplitz",3,10,0.664,0.821
"945","Toeplitz",3,11,0.731,0.889
"946","Toeplitz",3,21,0.986,0.999
"947","Toeplitz",3,31,0.999,1
"948","Toeplitz",3,41,1,1
"949","Toeplitz",3,51,1,1
"950","Toeplitz",3,61,1,1
"951","Toeplitz",3,71,1,1
"952","Toeplitz",3,81,1,1
"953","Toeplitz",3,91,1,1
"954","Toeplitz",4,3,0,0.434
"955","Toeplitz",4,4,0.133,0.248
"956","Toeplitz",4,5,0.242,0.23
"957","Toeplitz",4,6,0.345,0.373
"958","Toeplitz",4,7,0.421,0.508
"959","Toeplitz",4,8,0.505,0.595
"960","Toeplitz",4,9,0.539,0.687
"961","Toeplitz",4,10,0.601,0.765
"962","Toeplitz",4,11,0.696,0.825
"963","Toeplitz",4,21,0.981,0.995
"964","Toeplitz",4,31,1,1
"965","Toeplitz",4,41,1,1
"966","Toeplitz",4,51,1,1
"967","Toeplitz",4,61,1,1
"968","Toeplitz",4,71,1,1
"969","Toeplitz",4,81,1,1
"970","Toeplitz",4,91,1,1
"971","Toeplitz",5,3,0,0.436
"972","Toeplitz",5,4,0.121,0.192
"973","Toeplitz",5,5,0.214,0.203
"974","Toeplitz",5,6,0.321,0.314
"975","Toeplitz",5,7,0.378,0.429
"976","Toeplitz",5,8,0.422,0.512
"977","Toeplitz",5,9,0.51,0.587
"978","Toeplitz",5,10,0.544,0.703
"979","Toeplitz",5,11,0.626,0.76
"980","Toeplitz",5,21,0.959,0.991
"981","Toeplitz",5,31,0.999,0.999
"982","Toeplitz",5,41,1,1
"983","Toeplitz",5,51,1,1
"984","Toeplitz",5,61,1,1
"985","Toeplitz",5,71,1,1
"986","Toeplitz",5,81,1,1
"987","Toeplitz",5,91,1,1
"988","Toeplitz",6,3,0,0.451
"989","Toeplitz",6,4,0.126,0.169
"990","Toeplitz",6,5,0.227,0.174
"991","Toeplitz",6,6,0.289,0.256
"992","Toeplitz",6,7,0.327,0.331
"993","Toeplitz",6,8,0.386,0.443
"994","Toeplitz",6,9,0.45,0.514
"995","Toeplitz",6,10,0.49,0.571
"996","Toeplitz",6,11,0.55,0.685
"997","Toeplitz",6,21,0.934,0.989
"998","Toeplitz",6,31,0.998,1
"999","Toeplitz",6,41,1,1
"1000","Toeplitz",6,51,1,1
"1001","Toeplitz",6,61,1,1
"1002","Toeplitz",6,71,1,1
"1003","Toeplitz",6,81,1,1
"1004","Toeplitz",6,91,1,1
"1005","Toeplitz",7,3,0,0.421
"1006","Toeplitz",7,4,0.099,0.134
"1007","Toeplitz",7,5,0.198,0.165
"1008","Toeplitz",7,6,0.227,0.2
"1009","Toeplitz",7,7,0.268,0.299
"1010","Toeplitz",7,8,0.327,0.366
"1011","Toeplitz",7,9,0.385,0.456
"1012","Toeplitz",7,10,0.433,0.525
"1013","Toeplitz",7,11,0.481,0.58
"1014","Toeplitz",7,21,0.9,0.967
"1015","Toeplitz",7,31,0.991,0.999
"1016","Toeplitz",7,41,1,1
"1017","Toeplitz",7,51,1,1
"1018","Toeplitz",7,61,1,1
"1019","Toeplitz",7,71,1,1
"1020","Toeplitz",7,81,1,1
"1021","Toeplitz",7,91,1,1
"1022","Toeplitz",8,3,0,0.465
"1023","Toeplitz",8,4,0.113,0.144
"1024","Toeplitz",8,5,0.181,0.14
"1025","Toeplitz",8,6,0.193,0.189
"1026","Toeplitz",8,7,0.231,0.232
"1027","Toeplitz",8,8,0.303,0.337
"1028","Toeplitz",8,9,0.332,0.382
"1029","Toeplitz",8,10,0.379,0.465
"1030","Toeplitz",8,11,0.42,0.559
"1031","Toeplitz",8,21,0.857,0.958
"1032","Toeplitz",8,31,0.989,1
"1033","Toeplitz",8,41,0.999,1
"1034","Toeplitz",8,51,1,1
"1035","Toeplitz",8,61,1,1
"1036","Toeplitz",8,71,1,1
"1037","Toeplitz",8,81,1,1
"1038","Toeplitz",8,91,1,1
"1039","Toeplitz",9,3,0,0.48
"1040","Toeplitz",9,4,0.11,0.129
"1041","Toeplitz",9,5,0.163,0.114
"1042","Toeplitz",9,6,0.199,0.168
"1043","Toeplitz",9,7,0.232,0.223
"1044","Toeplitz",9,8,0.258,0.275
"1045","Toeplitz",9,9,0.302,0.359
"1046","Toeplitz",9,10,0.344,0.425
"1047","Toeplitz",9,11,0.402,0.505
"1048","Toeplitz",9,21,0.805,0.935
"1049","Toeplitz",9,31,0.97,0.996
"1050","Toeplitz",9,41,1,1
"1051","Toeplitz",9,51,1,1
"1052","Toeplitz",9,61,1,1
"1053","Toeplitz",9,71,1,1
"1054","Toeplitz",9,81,1,1
"1055","Toeplitz",9,91,1,1
"1056","Toeplitz",10,3,0,0.5
"1057","Toeplitz",10,4,0.088,0.105
"1058","Toeplitz",10,5,0.154,0.113
"1059","Toeplitz",10,6,0.183,0.18
"1060","Toeplitz",10,7,0.197,0.198
"1061","Toeplitz",10,8,0.259,0.283
"1062","Toeplitz",10,9,0.262,0.312
"1063","Toeplitz",10,10,0.311,0.404
"1064","Toeplitz",10,11,0.353,0.462
"1065","Toeplitz",10,21,0.749,0.909
"1066","Toeplitz",10,31,0.965,0.995
"1067","Toeplitz",10,41,0.998,1
"1068","Toeplitz",10,51,1,1
"1069","Toeplitz",10,61,1,1
"1070","Toeplitz",10,71,1,1
"1071","Toeplitz",10,81,1,1
"1072","Toeplitz",10,91,1,1
"1073","Toeplitz",11,3,0,0.486
"1074","Toeplitz",11,4,0.086,0.11
"1075","Toeplitz",11,5,0.162,0.127
"1076","Toeplitz",11,6,0.155,0.151
"1077","Toeplitz",11,7,0.214,0.22
"1078","Toeplitz",11,8,0.217,0.24
"1079","Toeplitz",11,9,0.258,0.3
"1080","Toeplitz",11,10,0.27,0.364
"1081","Toeplitz",11,11,0.322,0.443
"1082","Toeplitz",11,21,0.676,0.897
"1083","Toeplitz",11,31,0.942,0.991
"1084","Toeplitz",11,41,0.994,0.999
"1085","Toeplitz",11,51,1,1
"1086","Toeplitz",11,61,1,1
"1087","Toeplitz",11,71,1,1
"1088","Toeplitz",11,81,1,1
"1089","Toeplitz",11,91,1,1
"1090","Toeplitz",21,3,0,0.589
"1091","Toeplitz",21,4,0.066,0.088
"1092","Toeplitz",21,5,0.093,0.065
"1093","Toeplitz",21,6,0.099,0.116
"1094","Toeplitz",21,7,0.107,0.121
"1095","Toeplitz",21,8,0.123,0.177
"1096","Toeplitz",21,9,0.152,0.218
"1097","Toeplitz",21,10,0.15,0.23
"1098","Toeplitz",21,11,0.175,0.287
"1099","Toeplitz",21,21,0.322,0.774
"1100","Toeplitz",21,31,0.533,0.963
"1101","Toeplitz",21,41,0.801,0.997
"1102","Toeplitz",21,51,0.948,1
"1103","Toeplitz",21,61,0.993,1
"1104","Toeplitz",21,71,1,1
"1105","Toeplitz",21,81,1,1
"1106","Toeplitz",21,91,1,1
"1107","Toeplitz",31,3,0,0.667
"1108","Toeplitz",31,4,0.055,0.051
"1109","Toeplitz",31,5,0.089,0.081
"1110","Toeplitz",31,6,0.072,0.085
"1111","Toeplitz",31,7,0.105,0.097
"1112","Toeplitz",31,8,0.088,0.096
"1113","Toeplitz",31,9,0.102,0.143
"1114","Toeplitz",31,10,0.104,0.189
"1115","Toeplitz",31,11,0.1,0.195
"1116","Toeplitz",31,21,0.184,0.687
"1117","Toeplitz",31,31,0.303,0.922
"1118","Toeplitz",31,41,0.456,0.992
"1119","Toeplitz",31,51,0.65,0.997
"1120","Toeplitz",31,61,0.858,1
"1121","Toeplitz",31,71,0.961,1
"1122","Toeplitz",31,81,0.992,1
"1123","Toeplitz",31,91,1,1
"1124","Toeplitz",41,3,0,0.685
"1125","Toeplitz",41,4,0.054,0.057
"1126","Toeplitz",41,5,0.063,0.075
"1127","Toeplitz",41,6,0.078,0.076
"1128","Toeplitz",41,7,0.083,0.088
"1129","Toeplitz",41,8,0.084,0.099
"1130","Toeplitz",41,9,0.1,0.124
"1131","Toeplitz",41,10,0.081,0.14
"1132","Toeplitz",41,11,0.083,0.167
"1133","Toeplitz",41,21,0.143,0.656
"1134","Toeplitz",41,31,0.201,0.897
"1135","Toeplitz",41,41,0.309,0.983
"1136","Toeplitz",41,51,0.429,0.999
"1137","Toeplitz",41,61,0.572,1
"1138","Toeplitz",41,71,0.768,1
"1139","Toeplitz",41,81,0.884,1
"1140","Toeplitz",41,91,0.971,1
"1141","Toeplitz",51,3,0,0.729
"1142","Toeplitz",51,4,0.048,0.044
"1143","Toeplitz",51,5,0.069,0.08
"1144","Toeplitz",51,6,0.07,0.075
"1145","Toeplitz",51,7,0.079,0.08
"1146","Toeplitz",51,8,0.098,0.093
"1147","Toeplitz",51,9,0.075,0.094
"1148","Toeplitz",51,10,0.089,0.13
"1149","Toeplitz",51,11,0.08,0.15
"1150","Toeplitz",51,21,0.113,0.582
"1151","Toeplitz",51,31,0.157,0.884
"1152","Toeplitz",51,41,0.202,0.983
"1153","Toeplitz",51,51,0.273,0.999
"1154","Toeplitz",51,61,0.39,1
"1155","Toeplitz",51,71,0.537,1
"1156","Toeplitz",51,81,0.688,1
"1157","Toeplitz",51,91,0.823,1
"1158","Toeplitz",61,3,0,0.751
"1159","Toeplitz",61,4,0.043,0.046
"1160","Toeplitz",61,5,0.049,0.065
"1161","Toeplitz",61,6,0.06,0.058
"1162","Toeplitz",61,7,0.065,0.055
"1163","Toeplitz",61,8,0.071,0.085
"1164","Toeplitz",61,9,0.089,0.104
"1165","Toeplitz",61,10,0.085,0.127
"1166","Toeplitz",61,11,0.083,0.147
"1167","Toeplitz",61,21,0.085,0.572
"1168","Toeplitz",61,31,0.134,0.862
"1169","Toeplitz",61,41,0.16,0.972
"1170","Toeplitz",61,51,0.207,0.997
"1171","Toeplitz",61,61,0.296,0.999
"1172","Toeplitz",61,71,0.377,1
"1173","Toeplitz",61,81,0.475,1
"1174","Toeplitz",61,91,0.597,1
"1175","Toeplitz",71,3,0,0.747
"1176","Toeplitz",71,4,0.039,0.04
"1177","Toeplitz",71,5,0.057,0.084
"1178","Toeplitz",71,6,0.061,0.063
"1179","Toeplitz",71,7,0.059,0.064
"1180","Toeplitz",71,8,0.068,0.067
"1181","Toeplitz",71,9,0.072,0.106
"1182","Toeplitz",71,10,0.075,0.122
"1183","Toeplitz",71,11,0.063,0.122
"1184","Toeplitz",71,21,0.098,0.547
"1185","Toeplitz",71,31,0.119,0.885
"1186","Toeplitz",71,41,0.15,0.97
"1187","Toeplitz",71,51,0.166,0.996
"1188","Toeplitz",71,61,0.191,1
"1189","Toeplitz",71,71,0.298,1
"1190","Toeplitz",71,81,0.34,1
"1191","Toeplitz",71,91,0.448,1
"1192","Toeplitz",81,3,0,0.754
"1193","Toeplitz",81,4,0.055,0.046
"1194","Toeplitz",81,5,0.052,0.074
"1195","Toeplitz",81,6,0.064,0.053
"1196","Toeplitz",81,7,0.078,0.056
"1197","Toeplitz",81,8,0.07,0.067
"1198","Toeplitz",81,9,0.065,0.087
"1199","Toeplitz",81,10,0.065,0.095
"1200","Toeplitz",81,11,0.048,0.118
"1201","Toeplitz",81,21,0.075,0.518
"1202","Toeplitz",81,31,0.083,0.851
"1203","Toeplitz",81,41,0.121,0.973
"1204","Toeplitz",81,51,0.153,0.994
"1205","Toeplitz",81,61,0.193,1
"1206","Toeplitz",81,71,0.221,1
"1207","Toeplitz",81,81,0.284,1
"1208","Toeplitz",81,91,0.333,1
"1209","Toeplitz",91,3,0,0.784
"1210","Toeplitz",91,4,0.033,0.046
"1211","Toeplitz",91,5,0.064,0.093
"1212","Toeplitz",91,6,0.067,0.065
"1213","Toeplitz",91,7,0.077,0.049
"1214","Toeplitz",91,8,0.054,0.05
"1215","Toeplitz",91,9,0.072,0.077
"1216","Toeplitz",91,10,0.065,0.092
"1217","Toeplitz",91,11,0.072,0.108
"1218","Toeplitz",91,21,0.078,0.496
"1219","Toeplitz",91,31,0.098,0.836
"1220","Toeplitz",91,41,0.117,0.968
"1221","Toeplitz",91,51,0.13,0.995
"1222","Toeplitz",91,61,0.144,0.999
"1223","Toeplitz",91,71,0.191,1
"1224","Toeplitz",91,81,0.241,1
"1225","Toeplitz",91,91,0.259,1
