"","covariance_structures","dimensions","sample_sizes","power_global","power_max"
"134","Unstructured",9,61,0.062,0.064
"135","Unstructured",9,71,0.062,0.077
"136","Unstructured",9,81,0.059,0.073
"137","Unstructured",9,91,0.064,0.075
"138","Unstructured",10,3,0,0.434
"139","Unstructured",10,4,0.033,0.069
"140","Unstructured",10,5,0.044,0.041
"141","Unstructured",10,6,0.052,0.064
"142","Unstructured",10,7,0.053,0.051
"143","Unstructured",10,8,0.062,0.054
"144","Unstructured",10,9,0.049,0.043
"145","Unstructured",10,10,0.054,0.043
"146","Unstructured",10,11,0.049,0.037
"147","Unstructured",10,21,0.051,0.045
"148","Unstructured",10,31,0.038,0.049
"149","Unstructured",10,41,0.058,0.053
"150","Unstructured",10,51,0.046,0.059
"151","Unstructured",10,61,0.053,0.059
"152","Unstructured",10,71,0.059,0.057
"153","Unstructured",10,81,0.056,0.067
"154","Unstructured",10,91,0.049,0.06
"155","Unstructured",11,3,0,0.454
"156","Unstructured",11,4,0.038,0.077
"157","Unstructured",11,5,0.046,0.05
"158","Unstructured",11,6,0.049,0.062
"159","Unstructured",11,7,0.053,0.057
"160","Unstructured",11,8,0.039,0.043
"161","Unstructured",11,9,0.054,0.05
"162","Unstructured",11,10,0.061,0.045
"163","Unstructured",11,11,0.064,0.051
"164","Unstructured",11,21,0.059,0.065
"165","Unstructured",11,31,0.051,0.047
"166","Unstructured",11,41,0.051,0.044
"167","Unstructured",11,51,0.056,0.056
"168","Unstructured",11,61,0.056,0.055
"169","Unstructured",11,71,0.053,0.054
"170","Unstructured",11,81,0.061,0.064
"171","Unstructured",11,91,0.07,0.066
"172","Unstructured",21,3,0,0.707
"173","Unstructured",21,4,0.047,0.058
"174","Unstructured",21,5,0.047,0.071
"175","Unstructured",21,6,0.05,0.059
"176","Unstructured",21,7,0.04,0.045
"177","Unstructured",21,8,0.046,0.05
"178","Unstructured",21,9,0.049,0.046
"179","Unstructured",21,10,0.056,0.058
"180","Unstructured",21,11,0.05,0.04
"181","Unstructured",21,21,0.043,0.044
"182","Unstructured",21,31,0.054,0.047
"183","Unstructured",21,41,0.059,0.041
"184","Unstructured",21,51,0.045,0.044
"185","Unstructured",21,61,0.048,0.042
"186","Unstructured",21,71,0.054,0.057
"187","Unstructured",21,81,0.056,0.048
"188","Unstructured",21,91,0.053,0.055
"189","Unstructured",31,3,0,0.814
"190","Unstructured",31,4,0.03,0.039
"191","Unstructured",31,5,0.06,0.066
"192","Unstructured",31,6,0.054,0.057
"193","Unstructured",31,7,0.048,0.056
"194","Unstructured",31,8,0.044,0.049
"195","Unstructured",31,9,0.053,0.042
"196","Unstructured",31,10,0.051,0.046
"197","Unstructured",31,11,0.041,0.046
"198","Unstructured",31,21,0.051,0.06
"199","Unstructured",31,31,0.053,0.053
"200","Unstructured",31,41,0.05,0.049
"201","Unstructured",31,51,0.051,0.05
"202","Unstructured",31,61,0.047,0.05
"203","Unstructured",31,71,0.055,0.06
"204","Unstructured",31,81,0.062,0.061
"205","Unstructured",31,91,0.066,0.039
"206","Unstructured",41,3,0,0.892
"207","Unstructured",41,4,0.055,0.035
"208","Unstructured",41,5,0.046,0.081
"209","Unstructured",41,6,0.063,0.052
"210","Unstructured",41,7,0.042,0.066
"211","Unstructured",41,8,0.051,0.054
"212","Unstructured",41,9,0.055,0.061
"213","Unstructured",41,10,0.041,0.04
"214","Unstructured",41,11,0.044,0.05
"215","Unstructured",41,21,0.059,0.061
"216","Unstructured",41,31,0.047,0.049
"217","Unstructured",41,41,0.056,0.036
"218","Unstructured",41,51,0.064,0.055
"219","Unstructured",41,61,0.043,0.045
"220","Unstructured",41,71,0.067,0.056
"221","Unstructured",41,81,0.047,0.055
"222","Unstructured",41,91,0.047,0.062
"223","Unstructured",51,3,0.001,0.945
"224","Unstructured",51,4,0.06,0.036
"225","Unstructured",51,5,0.04,0.09
"226","Unstructured",51,6,0.038,0.054
"227","Unstructured",51,7,0.045,0.047
"228","Unstructured",51,8,0.057,0.049
"229","Unstructured",51,9,0.051,0.056
"230","Unstructured",51,10,0.056,0.057
"231","Unstructured",51,11,0.047,0.055
"232","Unstructured",51,21,0.052,0.046
"233","Unstructured",51,31,0.061,0.057
"234","Unstructured",51,41,0.047,0.066
"235","Unstructured",51,51,0.042,0.05
"236","Unstructured",51,61,0.051,0.054
"237","Unstructured",51,71,0.068,0.053
"238","Unstructured",51,81,0.047,0.04
"239","Unstructured",51,91,0.042,0.036
"240","Unstructured",61,3,0.001,0.957
"241","Unstructured",61,4,0.065,0.041
"242","Unstructured",61,5,0.056,0.099
"243","Unstructured",61,6,0.052,0.048
"244","Unstructured",61,7,0.052,0.043
"245","Unstructured",61,8,0.051,0.052
"246","Unstructured",61,9,0.052,0.044
"247","Unstructured",61,10,0.042,0.047
"248","Unstructured",61,11,0.049,0.056
"249","Unstructured",61,21,0.042,0.05
"250","Unstructured",61,31,0.039,0.056
"251","Unstructured",61,41,0.039,0.039
"252","Unstructured",61,51,0.041,0.046
"253","Unstructured",61,61,0.048,0.04
"254","Unstructured",61,71,0.055,0.055
"255","Unstructured",61,81,0.056,0.051
"256","Unstructured",61,91,0.055,0.06
"257","Unstructured",71,3,0.001,0.982
"258","Unstructured",71,4,0.047,0.031
"259","Unstructured",71,5,0.049,0.096
"260","Unstructured",71,6,0.056,0.046
"261","Unstructured",71,7,0.051,0.058
"262","Unstructured",71,8,0.039,0.04
"263","Unstructured",71,9,0.058,0.057
"264","Unstructured",71,10,0.042,0.058
"265","Unstructured",71,11,0.052,0.038
"266","Unstructured",71,21,0.046,0.037
"267","Unstructured",71,31,0.042,0.052
"268","Unstructured",71,41,0.048,0.044
"269","Unstructured",71,51,0.04,0.055
"270","Unstructured",71,61,0.054,0.06
"271","Unstructured",71,71,0.039,0.043
"272","Unstructured",71,81,0.054,0.044
"273","Unstructured",71,91,0.054,0.036
"274","Unstructured",81,3,0,0.984
"275","Unstructured",81,4,0.052,0.04
"276","Unstructured",81,5,0.044,0.102
"277","Unstructured",81,6,0.06,0.043
"278","Unstructured",81,7,0.037,0.053
"279","Unstructured",81,8,0.055,0.051
"280","Unstructured",81,9,0.056,0.047
"281","Unstructured",81,10,0.048,0.049
"282","Unstructured",81,11,0.052,0.041
"283","Unstructured",81,21,0.062,0.049
"284","Unstructured",81,31,0.047,0.067
"285","Unstructured",81,41,0.06,0.041
"286","Unstructured",81,51,0.058,0.042
"287","Unstructured",81,61,0.061,0.048
"288","Unstructured",81,71,0.05,0.048
"289","Unstructured",81,81,0.051,0.054
"290","Unstructured",81,91,0.054,0.052
"291","Unstructured",91,3,0.002,0.998
"292","Unstructured",91,4,0.036,0.025
"293","Unstructured",91,5,0.052,0.122
"294","Unstructured",91,6,0.058,0.048
"295","Unstructured",91,7,0.048,0.041
"296","Unstructured",91,8,0.049,0.052
"297","Unstructured",91,9,0.054,0.049
"298","Unstructured",91,10,0.06,0.059
"299","Unstructured",91,11,0.05,0.045
"300","Unstructured",91,21,0.051,0.048
"301","Unstructured",91,31,0.044,0.049
"302","Unstructured",91,41,0.046,0.039
"303","Unstructured",91,51,0.045,0.057
"304","Unstructured",91,61,0.052,0.046
"305","Unstructured",91,71,0.059,0.051
"306","Unstructured",91,81,0.043,0.053
"307","Unstructured",91,91,0.057,0.06
"308","AR(1)",2,3,0,0.221
"309","AR(1)",2,4,0.079,0.204
"310","AR(1)",2,5,0.161,0.167
"311","AR(1)",2,6,0.248,0.155
"312","AR(1)",2,7,0.317,0.216
"313","AR(1)",2,8,0.417,0.305
"314","AR(1)",2,9,0.446,0.324
"315","AR(1)",2,10,0.531,0.393
"316","AR(1)",2,11,0.558,0.428
"317","AR(1)",2,21,0.873,0.798
"318","AR(1)",2,31,0.971,0.947
"319","AR(1)",2,41,0.989,0.983
"320","AR(1)",2,51,0.997,0.997
"321","AR(1)",2,61,1,1
"322","AR(1)",2,71,1,1
"323","AR(1)",2,81,1,1
"324","AR(1)",2,91,1,1
"325","AR(1)",3,3,0,0.328
"326","AR(1)",3,4,0.084,0.213
"327","AR(1)",3,5,0.195,0.194
"328","AR(1)",3,6,0.274,0.251
"329","AR(1)",3,7,0.349,0.342
"330","AR(1)",3,8,0.396,0.398
"331","AR(1)",3,9,0.436,0.467
"332","AR(1)",3,10,0.521,0.529
"333","AR(1)",3,11,0.575,0.603
"334","AR(1)",3,21,0.902,0.939
