"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"114","Unstructured",0.6,31,"0.05","0.053"
"115","Unstructured",0.6,41,"0.058","0.046"
"116","Unstructured",0.6,51,"0.052","0.04"
"117","Unstructured",0.6,61,"0.055","0.046"
"118","Unstructured",0.6,71,"0.062","0.05"
"119","Unstructured",0.6,81,"0.053","0.066"
"120","Unstructured",0.6,91,"0.058","0.056"
"121","Unstructured",0.7,3,"0","0.585"
"122","Unstructured",0.7,4,"0.05","0.065"
"123","Unstructured",0.7,5,"0.05","0.057"
"124","Unstructured",0.7,6,"0.061","0.05"
"125","Unstructured",0.7,7,"0.047","0.041"
"126","Unstructured",0.7,8,"0.041","0.045"
"127","Unstructured",0.7,9,"0.051","0.073"
"128","Unstructured",0.7,10,"0.045","0.049"
"129","Unstructured",0.7,11,"0.052","0.054"
"130","Unstructured",0.7,21,"0.057","0.056"
"131","Unstructured",0.7,31,"0.052","0.039"
"132","Unstructured",0.7,41,"0.053","0.06"
"133","Unstructured",0.7,51,"0.047","0.053"
"134","Unstructured",0.7,61,"0.054","0.043"
"135","Unstructured",0.7,71,"0.057","0.057"
"136","Unstructured",0.7,81,"0.048","0.047"
"137","Unstructured",0.7,91,"0.056","0.054"
"138","Unstructured",0.8,3,"0","0.645"
"139","Unstructured",0.8,4,"0.042","0.058"
"140","Unstructured",0.8,5,"0.048","0.061"
"141","Unstructured",0.8,6,"0.052","0.048"
"142","Unstructured",0.8,7,"0.055","0.042"
"143","Unstructured",0.8,8,"0.049","0.045"
"144","Unstructured",0.8,9,"0.036","0.061"
"145","Unstructured",0.8,10,"0.052","0.054"
"146","Unstructured",0.8,11,"0.051","0.049"
"147","Unstructured",0.8,21,"0.048","0.048"
"148","Unstructured",0.8,31,"0.043","0.043"
"149","Unstructured",0.8,41,"0.046","0.046"
"150","Unstructured",0.8,51,"0.045","0.043"
"151","Unstructured",0.8,61,"0.044","0.038"
"152","Unstructured",0.8,71,"0.045","0.045"
