"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"555","AR(2)",1,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"556","AR(2)",1,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"557","AR(2)",1,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"558","AR(2)",1,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"559","AR(2)",1,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"560","AR(2)",1,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"561","AR(2)",1,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"562","AR(2)",1,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"563","Toeplitz",0,3,"0","0.586"
"564","Toeplitz",0,4,"0.067","0.075"
"565","Toeplitz",0,5,"0.114","0.082"
"566","Toeplitz",0,6,"0.13","0.113"
"567","Toeplitz",0,7,"0.133","0.13"
"568","Toeplitz",0,8,"0.14","0.163"
"569","Toeplitz",0,9,"0.17","0.215"
"570","Toeplitz",0,10,"0.139","0.256"
"571","Toeplitz",0,11,"0.187","0.296"
"572","Toeplitz",0,21,"0.378","0.806"
"573","Toeplitz",0,31,"0.651","0.969"
"574","Toeplitz",0,41,"0.908","0.999"
"575","Toeplitz",0,51,"0.984","1"
"576","Toeplitz",0,61,"0.998","1"
"577","Toeplitz",0,71,"1","1"
"578","Toeplitz",0,81,"1","1"
"579","Toeplitz",0,91,"1","1"
"580","Toeplitz",0.1,3,"0","0.543"
"581","Toeplitz",0.1,4,"0.077","0.093"
"582","Toeplitz",0.1,5,"0.094","0.084"
"583","Toeplitz",0.1,6,"0.147","0.108"
"584","Toeplitz",0.1,7,"0.107","0.123"
"585","Toeplitz",0.1,8,"0.14","0.158"
"586","Toeplitz",0.1,9,"0.152","0.199"
"587","Toeplitz",0.1,10,"0.175","0.278"
"588","Toeplitz",0.1,11,"0.19","0.317"
"589","Toeplitz",0.1,21,"0.404","0.802"
"590","Toeplitz",0.1,31,"0.651","0.979"
"591","Toeplitz",0.1,41,"0.904","0.998"
"592","Toeplitz",0.1,51,"0.978","1"
"593","Toeplitz",0.1,61,"0.999","1"
"594","Toeplitz",0.1,71,"1","1"
"595","Toeplitz",0.1,81,"1","1"
"596","Toeplitz",0.1,91,"1","1"
"597","Toeplitz",0.2,3,"0","0.56"
"598","Toeplitz",0.2,4,"0.066","0.08"
"599","Toeplitz",0.2,5,"0.098","0.093"
"600","Toeplitz",0.2,6,"0.116","0.131"
"601","Toeplitz",0.2,7,"0.123","0.152"
"602","Toeplitz",0.2,8,"0.147","0.185"
"603","Toeplitz",0.2,9,"0.149","0.206"
"604","Toeplitz",0.2,10,"0.199","0.288"
"605","Toeplitz",0.2,11,"0.185","0.308"
"606","Toeplitz",0.2,21,"0.367","0.812"
"607","Toeplitz",0.2,31,"0.647","0.972"
"608","Toeplitz",0.2,41,"0.898","0.999"
"609","Toeplitz",0.2,51,"0.987","0.998"
"610","Toeplitz",0.2,61,"1","1"
"611","Toeplitz",0.2,71,"1","1"
"612","Toeplitz",0.2,81,"1","1"
"613","Toeplitz",0.2,91,"1","1"
"614","Toeplitz",0.3,3,"0","0.559"
"615","Toeplitz",0.3,4,"0.077","0.076"
"616","Toeplitz",0.3,5,"0.106","0.1"
"617","Toeplitz",0.3,6,"0.112","0.119"
"618","Toeplitz",0.3,7,"0.133","0.126"
"619","Toeplitz",0.3,8,"0.149","0.165"
"620","Toeplitz",0.3,9,"0.164","0.224"
"621","Toeplitz",0.3,10,"0.178","0.255"
"622","Toeplitz",0.3,11,"0.192","0.341"
"623","Toeplitz",0.3,21,"0.361","0.829"
"624","Toeplitz",0.3,31,"0.659","0.968"
"625","Toeplitz",0.3,41,"0.901","0.998"
"626","Toeplitz",0.3,51,"0.98","1"
"627","Toeplitz",0.3,61,"0.998","1"
"628","Toeplitz",0.3,71,"1","1"
"629","Toeplitz",0.3,81,"1","1"
"630","Toeplitz",0.3,91,"1","1"
"631","Toeplitz",0.4,3,"0","0.571"
"632","Toeplitz",0.4,4,"0.069","0.089"
"633","Toeplitz",0.4,5,"0.136","0.108"
"634","Toeplitz",0.4,6,"0.119","0.116"
"635","Toeplitz",0.4,7,"0.124","0.135"
"636","Toeplitz",0.4,8,"0.151","0.161"
"637","Toeplitz",0.4,9,"0.141","0.192"
"638","Toeplitz",0.4,10,"0.16","0.243"
"639","Toeplitz",0.4,11,"0.189","0.302"
"640","Toeplitz",0.4,21,"0.403","0.794"
"641","Toeplitz",0.4,31,"0.65","0.974"
"642","Toeplitz",0.4,41,"0.884","0.998"
"643","Toeplitz",0.4,51,"0.986","0.999"
"644","Toeplitz",0.4,61,"1","1"
"645","Toeplitz",0.4,71,"1","1"
"646","Toeplitz",0.4,81,"1","1"
"647","Toeplitz",0.4,91,"1","1"
"648","Toeplitz",0.5,3,"0","0.573"
"649","Toeplitz",0.5,4,"0.058","0.074"
"650","Toeplitz",0.5,5,"0.088","0.069"
"651","Toeplitz",0.5,6,"0.112","0.103"
"652","Toeplitz",0.5,7,"0.142","0.13"
"653","Toeplitz",0.5,8,"0.141","0.163"
"654","Toeplitz",0.5,9,"0.139","0.206"
"655","Toeplitz",0.5,10,"0.167","0.26"
"656","Toeplitz",0.5,11,"0.183","0.325"
"657","Toeplitz",0.5,21,"0.378","0.797"
"658","Toeplitz",0.5,31,"0.649","0.974"
"659","Toeplitz",0.5,41,"0.877","0.997"
"660","Toeplitz",0.5,51,"0.985","1"
"661","Toeplitz",0.5,61,"0.998","1"
"662","Toeplitz",0.5,71,"1","1"
"663","Toeplitz",0.5,81,"1","1"
"664","Toeplitz",0.5,91,"1","1"
"665","Toeplitz",0.6,3,"0","0.559"
"666","Toeplitz",0.6,4,"0.066","0.081"
"667","Toeplitz",0.6,5,"0.104","0.09"
"668","Toeplitz",0.6,6,"0.143","0.118"
"669","Toeplitz",0.6,7,"0.132","0.119"
"670","Toeplitz",0.6,8,"0.139","0.181"
"671","Toeplitz",0.6,9,"0.16","0.221"
"672","Toeplitz",0.6,10,"0.174","0.276"
"673","Toeplitz",0.6,11,"0.18","0.308"
"674","Toeplitz",0.6,21,"0.377","0.816"
"675","Toeplitz",0.6,31,"0.683","0.966"
"676","Toeplitz",0.6,41,"0.881","0.998"
"677","Toeplitz",0.6,51,"0.988","1"
"678","Toeplitz",0.6,61,"0.999","1"
"679","Toeplitz",0.6,71,"1","1"
"680","Toeplitz",0.6,81,"1","1"
"681","Toeplitz",0.6,91,"1","1"
"682","Toeplitz",0.7,3,"0","0.594"
"683","Toeplitz",0.7,4,"0.07","0.074"
"684","Toeplitz",0.7,5,"0.101","0.09"
"685","Toeplitz",0.7,6,"0.12","0.102"
"686","Toeplitz",0.7,7,"0.149","0.145"
"687","Toeplitz",0.7,8,"0.136","0.15"
"688","Toeplitz",0.7,9,"0.13","0.195"
"689","Toeplitz",0.7,10,"0.158","0.259"
"690","Toeplitz",0.7,11,"0.191","0.335"
"691","Toeplitz",0.7,21,"0.43","0.798"
"692","Toeplitz",0.7,31,"0.673","0.964"
"693","Toeplitz",0.7,41,"0.899","0.997"
"694","Toeplitz",0.7,51,"0.983","1"
"695","Toeplitz",0.7,61,"0.999","1"
"696","Toeplitz",0.7,71,"1","1"
"697","Toeplitz",0.7,81,"1","1"
"698","Toeplitz",0.7,91,"1","1"
"699","Toeplitz",0.8,3,"0","0.583"
"700","Toeplitz",0.8,4,"0.068","0.088"
"701","Toeplitz",0.8,5,"0.106","0.08"
"702","Toeplitz",0.8,6,"0.108","0.098"
"703","Toeplitz",0.8,7,"0.132","0.137"
"704","Toeplitz",0.8,8,"0.166","0.205"
"705","Toeplitz",0.8,9,"0.156","0.23"
"706","Toeplitz",0.8,10,"0.177","0.266"
"707","Toeplitz",0.8,11,"0.203","0.33"
"708","Toeplitz",0.8,21,"0.405","0.808"
"709","Toeplitz",0.8,31,"0.695","0.982"
"710","Toeplitz",0.8,41,"0.897","0.994"
"711","Toeplitz",0.8,51,"0.985","1"
"712","Toeplitz",0.8,61,"0.999","1"
"713","Toeplitz",0.8,71,"1","1"
"714","Toeplitz",0.8,81,"1","1"
"715","Toeplitz",0.8,91,"1","1"
"716","Toeplitz",0.9,3,"0","0.563"
"717","Toeplitz",0.9,4,"0.058","0.08"
"718","Toeplitz",0.9,5,"0.095","0.081"
"719","Toeplitz",0.9,6,"0.123","0.118"
"720","Toeplitz",0.9,7,"0.121","0.132"
"721","Toeplitz",0.9,8,"0.141","0.158"
"722","Toeplitz",0.9,9,"0.15","0.227"
"723","Toeplitz",0.9,10,"0.181","0.264"
"724","Toeplitz",0.9,11,"0.188","0.338"
"725","Toeplitz",0.9,21,"0.394","0.825"
"726","Toeplitz",0.9,31,"0.661","0.973"
"727","Toeplitz",0.9,41,"0.883","0.993"
"728","Toeplitz",0.9,51,"0.984","1"
"729","Toeplitz",0.9,61,"0.999","1"
"730","Toeplitz",0.9,71,"1","1"
"731","Toeplitz",0.9,81,"1","1"
"732","Toeplitz",0.9,91,"1","1"
"733","Toeplitz",1,3,"0","0.594"
"734","Toeplitz",1,4,"0.063","0.058"
"735","Toeplitz",1,5,"0.101","0.092"
"736","Toeplitz",1,6,"0.123","0.115"
"737","Toeplitz",1,7,"0.133","0.144"
"738","Toeplitz",1,8,"0.15","0.167"
"739","Toeplitz",1,9,"0.149","0.191"
"740","Toeplitz",1,10,"0.19","0.255"
"741","Toeplitz",1,11,"0.16","0.307"
"742","Toeplitz",1,21,"0.375","0.815"
"743","Toeplitz",1,31,"0.669","0.979"
"744","Toeplitz",1,41,"0.902","0.999"
"745","Toeplitz",1,51,"0.982","1"
"746","Toeplitz",1,61,"0.999","1"
"747","Toeplitz",1,71,"1","1"
"748","Toeplitz",1,81,"1","1"
"749","Toeplitz",1,91,"1","1"
