"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"137","Toeplitz",1,6,0.065,0.045
"138","Toeplitz",1,7,0.1,0.09
"139","Toeplitz",1,8,0.05,0.045
"140","Toeplitz",1,9,0.07,0.09
"141","Toeplitz",1,10,0.105,0.08
"142","Toeplitz",1,11,0.08,0.08
"143","Toeplitz",1,21,0.11,0.16
"144","Toeplitz",1,31,0.14,0.265
"145","Toeplitz",1,41,0.155,0.45
"146","Toeplitz",1,51,0.215,0.61
"147","Toeplitz",1,61,0.22,0.725
"148","Toeplitz",1,71,0.27,0.78
"149","Toeplitz",1,81,0.34,0.875
"150","Toeplitz",1,91,0.37,0.92
"151","Toeplitz",2,5,0.1,0.09
"152","Toeplitz",2,6,0.105,0.1
"153","Toeplitz",2,7,0.1,0.16
"154","Toeplitz",2,8,0.11,0.21
"155","Toeplitz",2,9,0.16,0.21
"156","Toeplitz",2,10,0.175,0.2
"157","Toeplitz",2,11,0.2,0.27
"158","Toeplitz",2,21,0.435,0.78
"159","Toeplitz",2,31,0.64,0.975
"160","Toeplitz",2,41,0.855,1
"161","Toeplitz",2,51,0.99,1
"162","Toeplitz",2,61,1,1
"163","Toeplitz",2,71,1,1
"164","Toeplitz",2,81,1,1
"165","Toeplitz",2,91,1,1
"166","Toeplitz",3,5,0.24,0.21
"167","Toeplitz",3,6,0.26,0.26
"168","Toeplitz",3,7,0.27,0.305
"169","Toeplitz",3,8,0.325,0.45
"170","Toeplitz",3,9,0.42,0.54
"171","Toeplitz",3,10,0.45,0.595
"172","Toeplitz",3,11,0.465,0.705
"173","Toeplitz",3,21,0.915,0.99
"174","Toeplitz",3,31,1,1
"175","Toeplitz",3,41,1,1
"176","Toeplitz",3,51,1,1
"177","Toeplitz",3,61,1,1
"178","Toeplitz",3,71,1,1
"179","Toeplitz",3,81,1,1
"180","Toeplitz",3,91,1,1
