"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"137","Toeplitz",1,6,0.04,0.03
"138","Toeplitz",1,7,0.04,0.03
"139","Toeplitz",1,8,0.09,0.06
"140","Toeplitz",1,9,0.05,0.09
"141","Toeplitz",1,10,0.08,0.04
"142","Toeplitz",1,11,0.14,0.15
"143","Toeplitz",1,21,0.06,0.14
"144","Toeplitz",1,31,0.13,0.37
"145","Toeplitz",1,41,0.17,0.43
"146","Toeplitz",1,51,0.16,0.59
"147","Toeplitz",1,61,0.18,0.75
"148","Toeplitz",1,71,0.36,0.86
"149","Toeplitz",1,81,0.32,0.8
"150","Toeplitz",1,91,0.43,0.96
"151","Toeplitz",2,5,0.11,0.08
"152","Toeplitz",2,6,0.17,0.19
"153","Toeplitz",2,7,0.15,0.14
"154","Toeplitz",2,8,0.15,0.2
"155","Toeplitz",2,9,0.14,0.19
"156","Toeplitz",2,10,0.14,0.35
"157","Toeplitz",2,11,0.18,0.26
"158","Toeplitz",2,21,0.46,0.81
"159","Toeplitz",2,31,0.74,0.96
"160","Toeplitz",2,41,0.9,1
"161","Toeplitz",2,51,0.98,1
"162","Toeplitz",2,61,1,1
"163","Toeplitz",2,71,1,1
"164","Toeplitz",2,81,1,1
"165","Toeplitz",2,91,1,1
"166","Toeplitz",3,5,0.15,0.15
"167","Toeplitz",3,6,0.25,0.23
"168","Toeplitz",3,7,0.39,0.35
"169","Toeplitz",3,8,0.37,0.39
"170","Toeplitz",3,9,0.42,0.49
"171","Toeplitz",3,10,0.5,0.72
"172","Toeplitz",3,11,0.5,0.8
"173","Toeplitz",3,21,0.92,1
"174","Toeplitz",3,31,1,1
"175","Toeplitz",3,41,1,1
"176","Toeplitz",3,51,1,1
"177","Toeplitz",3,61,1,1
"178","Toeplitz",3,71,1,1
"179","Toeplitz",3,81,1,1
"180","Toeplitz",3,91,1,1
