"","var_effectsize","powers_glob","powers_MCTP"
"1",0.05,0.0504,0.101
"2",0.1,0.0537,0.1026
"3",0.15,0.0958,0.1339
"4",0.2,0.245,0.2106
"5",0.25,0.6254,0.3957
"6",0.3,0.9506,0.6962
"7",0.35,0.9996,0.9365
"8",0.4,1,0.9977
"9",0.45,1,1
"10",0.5,1,1
