"","var_sample_sizes","powers_glob","powers_MCTP"
"1",5,0.1229,0.0911
"2",10,0.2738,0.125
"3",15,0.4497,0.1987
"4",20,0.6047,0.2857
"5",25,0.7455,0.3897
"6",30,0.8461,0.4857
"7",35,0.9012,0.5685
"8",40,0.9487,0.6535
"9",45,0.9713,0.7367
"10",50,0.9873,0.7965
"11",55,0.9937,0.8593
"12",60,0.9969,0.8943
"13",65,0.9994,0.9248
"14",70,0.9997,0.9465
"15",75,0.9999,0.9656
"16",80,1,0.9748
"17",85,1,0.985
"18",90,1,0.9892
"19",95,1,0.9923
"20",100,1,0.9959
