"","var_dimensionality","powers_glob","powers_MCTP"
"1",10,0.0732,0.4366
"2",15,0.1064,0.3109
"3",20,0.2137,0.5904
"4",25,0.3847,0.4739
"5",30,0.641,0.7872
"6",35,0.8555,0.6863
"7",40,0.9763,0.9323
"8",45,0.9979,0.8766
"9",50,0.9999,0.9889
"10",55,1,0.9727
"11",60,1,0.9993
"12",65,1,0.9987
"13",70,1,1
"14",75,1,1
"15",80,1,1
"16",85,1,1
"17",90,1,1
"18",95,1,1
"19",100,1,1
