"","var_dimensionality","powers_glob","powers_MCTP"
"1",10,0.2066,0.6203
"2",15,0.2405,0.4182
"3",20,0.2663,0.629
"4",25,0.2947,0.4256
"5",30,0.3268,0.6329
"6",35,0.3481,0.4281
"7",40,0.3762,0.6473
"8",45,0.4084,0.4295
"9",50,0.4437,0.6632
"10",55,0.4571,0.4453
"11",60,0.4832,0.6575
"12",65,0.5089,0.4401
"13",70,0.5252,0.6519
"14",75,0.546,0.4337
"15",80,0.5733,0.664
"16",85,0.5983,0.4473
"17",90,0.6107,0.6679
"18",95,0.624,0.4489
"19",100,0.6353,0.6657
