"","var_sample_sizes","powers_glob","powers_MCTP"
"1",5,0.0838,0.0813
"2",10,0.1637,0.1673
"3",15,0.2513,0.1329
"4",20,0.3533,0.2858
"5",25,0.4547,0.2095
"6",30,0.5516,0.4129
"7",35,0.6437,0.3335
"8",40,0.7329,0.5461
"9",45,0.7837,0.4286
"10",50,0.8404,0.6444
"11",55,0.8859,0.5419
"12",60,0.9171,0.7431
"13",65,0.9397,0.632
"14",70,0.958,0.8114
"15",75,0.9728,0.7176
"16",80,0.9798,0.8705
"17",85,0.9882,0.7858
"18",90,0.99,0.9109
"19",95,0.9949,0.8425
"20",100,0.9959,0.9427
